jppfs_cor:IntangibleAssets,無形固定資産,Intangible assets,Intangible assets
jppfs_cor:PatentRight,特許権,Patent right,Patent right
jppfs_cor:LeaseholdRight,借地権,Leasehold right,Leasehold right
jppfs_cor:RightOfTrademark,商標権,Trademark right,Trademark right
jppfs_cor:InvestmentsAndOtherAssets,投資その他の資産,Investments and other assets,Investments and other assets
jppfs_cor:InvestmentSecurities,投資有価証券,Investment securities,Investment securities
jppfs_cor:InvestmentsInCapital,出資金,Investments in capital,Investments in capital
jppfs_cor:LongTermLoansReceivable,長期貸付金,Long-term loans receivable,Long-term loans receivable
jppfs_cor:AllowanceForDoubtfulAccountsLongTermLoansReceivable,貸倒引当金、長期貸付金,Allowance for doubtful accounts,Allowance for doubtful accounts-long-term loans receivable
jppfs_cor:LongTermLoansReceivableNet,長期貸付金（純額）,"Long-term loans receivable, net","Long-term loans receivable, net"
jppfs_cor:DeferredTaxAssetsIOA,繰延税金資産、投資その他の資産,Deferred tax assets,Deferred tax assets-IOA
jppfs_cor:AllowanceForDoubtfulAccountsIOAByGroup,貸倒引当金、投資その他の資産、一括控除,Allowance for doubtful accounts,Allowance for doubtful accounts-IOA-by group
jppfs_cor:DeferredAssets,繰延資産,Deferred assets,Deferred assets
jppfs_cor:SpecificBondIssuanceCostLIQ,特定社債発行費、資産流動化業,Specific bond issuance cost,Specific bond issuance cost-LIQ
jppfs_cor:OtherAssetsLIQ,その他の資産の部、資産流動化業,Other assets,Other assets-LIQ
jppfs_cor:Assets,資産,Assets,Assets
jppfs_cor:LiabilitiesAbstract,負債の部 [タイトル項目],Liabilities,Liabilities [abstract]
jppfs_cor:CurrentLiabilities,流動負債,Current liabilities,Current liabilities
jppfs_cor:SpecificNotesPayableLIQ,特定約束手形、資産流動化業,Specific notes payable,Specific notes payable-LIQ
jppfs_cor:OperatingAccountsPayableLIQ,事業未払金、資産流動化業,Operating accounts payable,Operating accounts payable-LIQ
jppfs_cor:SpecificShortTermBondsPayableLIQ,特定短期社債、資産流動化業,Specific short-term bonds payable,Specific short-term bonds payable-LIQ
jppfs_cor:CurrentPortionOfSpecificBondsPayableLIQ,1年以内償還予定特定社債、資産流動化業,Current portion of specific bonds payable,Current portion of specific bonds payable-LIQ
jppfs_cor:CurrentPortionOfSpecificBorrowingsLIQ,1年以内返済予定特定借入れ、資産流動化業,Current portion of specific borrowings,Current portion of specific borrowings-LIQ
jppfs_cor:ShortTermLoansPayable,短期借入金,Short-term loans payable,Short-term loans payable
jppfs_cor:SpecificLoansPayableCLLIQ,特定目的借入れ、流動負債、資産流動化業,Specific loans payable,Specific loans payable-CL-LIQ
jppfs_cor:AdvancesReceived,前受金,Advances received,Advances received
jppfs_cor:ProvisionCL,引当金、流動負債,Provision,Provision-CL
jppfs_cor:ProvisionForRepairs,修繕引当金,Provision for repairs,Provision for repairs
jppfs_cor:AccountsPayableOther,未払金,Accounts payable - other,Accounts payable-other
jppfs_cor:DepositsReceived,預り金,Deposits received,Deposits received
jppfs_cor:IncomeTaxesPayable,未払法人税等,Income taxes payable,Income taxes payable
jppfs_cor:AccruedExpenses,未払費用,Accrued expenses,Accrued expenses
jppfs_cor:UnearnedRevenue,前受収益,Unearned revenue,Unearned revenue
jppfs_cor:DeferredTaxLiabilitiesCL,繰延税金負債、流動負債,Deferred tax liabilities,Deferred tax liabilities-CL
jppfs_cor:AssetRetirementObligationsCL,資産除去債務、流動負債,Asset retirement obligations,Asset retirement obligations-CL
jppfs_cor:NoncurrentLiabilities,固定負債,Non-current liabilities,Non-current liabilities
jppfs_cor:SpecificBondsPayableLIQ,特定社債、資産流動化業,Specific bonds payable,Specific bonds payable-LIQ
jppfs_cor:SpecificBorrowingsNCLLIQ,特定借入れ、固定負債、資産流動化業,Specific borrowings,Specific borrowings-NCL-LIQ
jppfs_cor:LongTermLoansPayable,長期借入金,Long-term loans payable,Long-term loans payable
jppfs_cor:SpecificLoansPayableNCLLIQ,特定目的借入れ、固定負債、資産流動化業,Specific loans payable,Specific loans payable-NCL-LIQ
jppfs_cor:ProvisionNCL,引当金、固定負債,Provision,Provision-NCL
jppfs_cor:ProvisionForSpecialRepairs,特別修繕引当金,Provision for special repairs,Provision for special repairs
jppfs_cor:DeferredTaxLiabilitiesNCL,繰延税金負債、固定負債,Deferred tax liabilities,Deferred tax liabilities-NCL
jppfs_cor:AssetRetirementObligationsNCL,資産除去債務、固定負債,Asset retirement obligations,Asset retirement obligations-NCL
jppfs_cor:Liabilities,負債,Liabilities,Liabilities
jppfs_cor:NetAssetsAbstract,純資産の部 [タイトル項目],Net assets,Net assets [abstract]
jppfs_cor:MembersEquityLIQ,社員資本、資産流動化業,Members' equity,Members' equity-LIQ
jppfs_cor:SpecificSharesLIQ,特定資本金、資産流動化業,Specific shares,Specific shares-LIQ
jppfs_cor:PreferredSharesLIQ,優先資本金、資産流動化業,Preferred shares,Preferred shares-LIQ
