jppfs_cor:AllowanceForDoubtfulAccountsShortTermLoans,貸倒引当金、短期貸付金,Allowance for doubtful accounts,Allowance for doubtful accounts-short-term loans
jppfs_cor:ShortTermLoansReceivableNet,短期貸付金（純額）,"Short-term loans receivable, net","Short-term loans receivable, net"
jppfs_cor:AdvancePaymentsTrade,前渡金,Advance payments - trade,Advance payments-trade
jppfs_cor:PrepaidExpenses,前払費用,Prepaid expenses,Prepaid expenses
jppfs_cor:DeferredTaxAssetsCA,繰延税金資産、流動資産,Deferred tax assets,Deferred tax assets-CA
jppfs_cor:ShortTermReceivablesFromDirectorsAndOtherEDU,役員等短期債権、学校法人,Short-term receivables from directors and other,Short-term receivables from directors and other-EDU
jppfs_cor:AllowanceForDoubtfulAccountsShortTermReceivablesFromDirectorsAndOtherEDU,貸倒引当金、役員等短期債権、学校法人,Allowance for doubtful accounts,Allowance for doubtful accounts-short-term receivables from directors and other-EDU
jppfs_cor:ShortTermReceivablesFromDirectorsAndOtherNetEDU,役員等短期債権（純額）、学校法人,"Short-term receivables from directors and other, net","Short-term receivables from directors and other, net-EDU"
jppfs_cor:OtherCA,その他、流動資産,Other,Other-CA
jppfs_cor:AllowanceForDoubtfulAccountsCA,貸倒引当金、流動資産、一括控除,Allowance for doubtful accounts,Allowance for doubtful accounts-CA-by group
jppfs_cor:CurrentAssets,流動資産,Current assets,Current assets
jppfs_cor:Assets,資産,Assets,Assets
jppfs_cor:LiabilitiesAbstract,負債の部 [タイトル項目],Liabilities,Liabilities [abstract]
jppfs_cor:NoncurrentLiabilitiesAbstract,固定負債 [タイトル項目],Non-current liabilities,Non-current liabilities [abstract]
jppfs_cor:LongTermLoansPayable,長期借入金,Long-term loans payable,Long-term loans payable
jppfs_cor:LongTermLoansPayableToSubsidiariesAndAffiliates,関係会社長期借入金,Long-term loans payable to subsidiaries and associates,Long-term loans payable to subsidiaries and associates
jppfs_cor:SchoolBondsPayableNCLEDU,学校債、固定負債、学校法人,School bonds payable,School bonds payable-NCL-EDU
jppfs_cor:LeaseObligationsNCL,リース債務、固定負債,Lease obligations,Lease obligations-NCL
jppfs_cor:DeferredTaxLiabilitiesNCL,繰延税金負債、固定負債,Deferred tax liabilities,Deferred tax liabilities-NCL
jppfs_cor:ProvisionNCLAbstract,引当金、固定負債 [タイトル項目],Provision,Provision-NCL [abstract]
jppfs_cor:ProvisionForRetirementBenefits,退職給付引当金,Provision for retirement benefits,Provision for retirement benefits
jppfs_cor:ProvisionNCL,引当金、固定負債,Provision,Provision-NCL
jppfs_cor:LongTermLoansPayableToDirectorsAndOtherEDU,役員等長期借入金、学校法人,Long-term loans payable to directors and other,Long-term loans payable to directors and other-EDU
jppfs_cor:OtherNCL,その他、固定負債,Other,Other-NCL
jppfs_cor:NoncurrentLiabilities,固定負債,Non-current liabilities,Non-current liabilities
jppfs_cor:CurrentLiabilitiesAbstract,流動負債 [タイトル項目],Current liabilities,Current liabilities [abstract]
jppfs_cor:ShortTermLoansPayable,短期借入金,Short-term loans payable,Short-term loans payable
jppfs_cor:SchoolBondsPayableCLEDU,学校債、流動負債、学校法人,School bonds payable,School bonds payable-CL-EDU
jppfs_cor:NotesPayableTrade,支払手形,Notes payable - trade,Notes payable-trade
jppfs_cor:LeaseObligationsCL,リース債務、流動負債,Lease obligations,Lease obligations-CL
jppfs_cor:AccountsPayableOther,未払金,Accounts payable - other,Accounts payable-other
jppfs_cor:AccruedExpenses,未払費用,Accrued expenses,Accrued expenses
jppfs_cor:AdvancesReceived,前受金,Advances received,Advances received
jppfs_cor:DepositsReceivedAbstractEDU,預り金、学校法人 [タイトル項目],Deposits received,Deposits received-EDU [abstract]
jppfs_cor:FundForSchoolExcursionDepositsReceivedEDU,修学旅行積立金、預り金、学校法人,Fund for school excursion,Fund for school excursion-deposits received-EDU
jppfs_cor:SubsidiesForScientificResearchDepositsReceivedEDU,科学研究費補助金、預り金、学校法人,Subsidies for scientific research,Subsidies for scientific research-deposits received-EDU
jppfs_cor:DepositsReceived,預り金,Deposits received,Deposits received
jppfs_cor:IncomeTaxesPayable,未払法人税等,Income taxes payable,Income taxes payable
jppfs_cor:AccruedConsumptionTaxes,未払消費税等,Accrued consumption taxes,Accrued consumption taxes
jppfs_cor:DeferredTaxLiabilitiesCL,繰延税金負債、流動負債,Deferred tax liabilities,Deferred tax liabilities-CL
jppfs_cor:ProvisionCLAbstract,引当金、流動負債 [タイトル項目],Provision,Provision-CL [abstract]
jppfs_cor:ProvisionForBonuses,賞与引当金,Provision for bonuses,Provision for bonuses
jppfs_cor:ProvisionCL,引当金、流動負債,Provision,Provision-CL
jppfs_cor:ShortTermLoansPayableToDirectorsAndOtherEDU,役員等短期借入金等、学校法人,Short-term loans payable to directors and other,Short-term loans payable to directors and other-EDU
jppfs_cor:OtherCL,その他、流動負債,Other,Other-CL
