タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
jppfs_cor:FacilityExpensesOERWY,施設運営費、営業費、鉄道事業,Facility expenses,Facility expenses-OE-RWY
jppfs_cor:OperatingExpensesTransportationOERWY,運輸営業費、営業費、鉄道事業,Operating expenses - transportation,Operating expenses-transportation-OE-RWY
jppfs_cor:OperatingExpensesRailwayRWY,鉄道事業営業費、鉄道事業,Operating expenses - railway,Operating expenses-railway-RWY
jppfs_cor:OperatingIncomeRailwayRWY,鉄道事業営業利益又は鉄道事業営業損失（△）、鉄道事業,Operating profit (loss) - railway,Operating profit (loss) - railway - RWY
jppfs_cor:OperatingIncomeCableRailwayRWY,鋼索鉄道事業営業利益又は鋼索鉄道事業営業損失（△）、鉄道事業,Operating profit (loss) - cable railway,Operating profit (loss) - cable railway - RWY
jppfs_cor:OperatingIncomeCablewayRWY,索道事業営業利益又は索道事業営業損失（△）、鉄道事業,Operating profit (loss) - cableway,Operating profit (loss) - cableway - RWY
jppfs_cor:OperatingIncomeRelatedAbstractRWY,関連事業営業利益、鉄道事業 [タイトル項目],Operating profit - related,Operating profit - related - RWY [abstract]
jppfs_cor:OperatingRevenueRelatedAbstractRWY,営業収益、関連事業営業利益、鉄道事業 [タイトル項目],Operating revenue,Operating revenue-related-RWY [abstract]
jppfs_cor:RevenueRealEstateLeaseORRelated,不動産賃貸事業収入、営業収益、関連事業、鉄道事業,Revenue - real estate lease,Revenue-real estate lease-OR-related-RWY
jppfs_cor:RevenueCardORRelated,カード事業収入、営業収益、関連事業、鉄道事業,Revenue - card,Revenue-card-OR-related-RWY
jppfs_cor:MiscellaneousRevenueORRelated,雑収入、営業収益、関連事業、鉄道事業,Miscellaneous revenue,Miscellaneous revenue-OR-related-RWY
jppfs_cor:OperatingRevenueRelatedRWY,関連事業営業収益、鉄道事業,Operating revenue - related,Operating revenue-related-RWY
jppfs_cor:OperatingExpensesRelatedAbstractRWY,営業費、関連事業営業利益、鉄道事業 [タイトル項目],Operating expenses,Operating expenses-related-RWY [abstract]
jppfs_cor:CostOfSalesOERelated,売上原価、営業費、関連事業、鉄道事業,Cost of sales,Cost of sales-OE-related-RWY
jppfs_cor:SellingGeneralAndAdministrativeExpensesOERelated,販売費及び一般管理費、営業費、関連事業、鉄道事業,"Selling, general and administrative expenses","Selling, general and administrative expenses-OE-related-RWY"
jppfs_cor:TaxesOERelated,諸税、営業費、関連事業、鉄道事業,Taxes,Taxes-OE-related-RWY
jppfs_cor:DepreciationOERelated,減価償却費、営業費、関連事業、鉄道事業,Depreciation,Depreciation-OE-related-RWY
jppfs_cor:OperatingExpensesRelatedRWY,関連事業営業費、鉄道事業,Operating expenses - related,Operating expenses-related-RWY
jppfs_cor:OperatingIncomeRelatedRWY,関連事業営業利益又は関連事業営業損失（△）、鉄道事業,Operating profit (loss) - related,Operating profit (loss) - related - RWY
jppfs_cor:OperatingIncomeAutomobileAbstractRWY,自動車事業営業利益、鉄道事業 [タイトル項目],Operating profit - automobile,Operating profit - automobile - RWY [abstract]
jppfs_cor:OperatingRevenueAutomobileAbstractRWY,営業収益、自動車事業営業利益、鉄道事業 [タイトル項目],Operating revenue,Operating revenue-automobile-RWY [abstract]
jppfs_cor:PassengerTransportationORAutomobile,旅客運輸収入、営業収益、自動車事業、鉄道事業,Passenger transportation,Passenger transportation-OR-automobile-RWY
jppfs_cor:PassengerTransportationRevenueORAutomobile,旅客運送収入、営業収益、自動車事業、鉄道事業,Passenger transportation revenue,Passenger transportation revenue-OR-automobile-RWY
jppfs_cor:RevenueTransportationMiscellaneousORAutomobile,運輸雑収、営業収益、自動車事業、鉄道事業,Revenue - transportation miscellaneous,Revenue-transportation miscellaneous-OR-automobile-RWY
jppfs_cor:RevenueAutomobileMiscellaneousOEAutomobile,運送雑収、営業収益、自動車事業、鉄道事業,Revenue - automobile miscellaneous,Revenue-automobile miscellaneous-OE-automobile-RWY
jppfs_cor:OperatingRevenueAutomobileRWY,自動車事業営業収益、鉄道事業,Operating revenue - automobile,Operating revenue-automobile-RWY
jppfs_cor:OperatingExpensesAutomobileAbstractRWY,営業費、自動車事業営業利益、鉄道事業 [タイトル項目],Operating expenses,Operating expenses-automobile-RWY [abstract]
jppfs_cor:GeneralAndAdministrativeExpensesOEAutomobile,一般管理費、営業費、自動車事業、鉄道事業,General and administrative expenses,General and administrative expenses-OE-automobile-RWY
jppfs_cor:TransportationOperatingExpensesOEAutomobile,運送営業費、営業費、自動車事業、鉄道事業,Transportation operating expenses,Transportation operating expenses-OE-automobile-RWY
jppfs_cor:DepreciationOEAutomobile,減価償却費、営業費、自動車事業、鉄道事業,Depreciation,Depreciation-OE-automobile-RWY
jppfs_cor:TaxesOEAutomobile,諸税、営業費、自動車事業、鉄道事業,Taxes,Taxes-OE-automobile-RWY
jppfs_cor:OperatingExpensesAutomobileRWY,自動車事業営業費、鉄道事業,Operating expenses - automobile,Operating expenses-automobile-RWY
jppfs_cor:OperatingIncomeAutomobileRWY,自動車事業営業利益又は自動車事業営業損失（△）、鉄道事業,Operating profit (loss) - automobile,Operating profit (loss) - automobile - RWY
jppfs_cor:OperatingIncomeGeneralPassengerAutomobileTrafficOEAutomobile,一般旅客自動車運送事業営業利益又は一般旅客自動車運送事業営業損失（△）、鉄道事業,Operating profit (loss) - general passenger automobile traffic,Operating profit (loss) - general passenger automobile traffic - OE - automobile - RWY
jppfs_cor:OperatingIncomeRealEstateAbstractRWY,不動産事業営業利益、鉄道事業 [タイトル項目],Operating profit - real estate,Operating profit - real estate - RWY [abstract]
jppfs_cor:OperatingRevenueRealEstateAbstractRWY,営業収益、不動産事業営業利益、鉄道事業 [タイトル項目],Operating revenue,Operating revenue-real estate-RWY [abstract]
jppfs_cor:RevenueRealEstateSalesORRealEstate,不動産販売事業収入、営業収益、不動産事業、鉄道事業,Revenue - real estate sales,Revenue-real estate sales-OR-real estate-RWY
jppfs_cor:RevenueRealEstateORRealEstate,不動産事業収入、営業収益、不動産事業、鉄道事業,Revenue - real estate,Revenue-real estate-OR-real estate-RWY
jppfs_cor:NetSalesORRealEstate,売上高、営業収益、不動産事業、鉄道事業,Net sales,Net sales-OR-real estate-RWY
jppfs_cor:RevenueOtherORRealEstate,その他の収入、営業収益、不動産事業、鉄道事業,Revenue - other,Revenue-other-OR-real estate-RWY
jppfs_cor:RevenueLeaseORRealEstate,賃貸収入、営業収益、不動産事業、鉄道事業,Revenue - lease,Revenue-lease-OR-real estate-RWY
jppfs_cor:OperatingRevenueRealEstateRWY,不動産事業営業収益、鉄道事業,Operating revenue - real estate,Operating revenue-real estate-RWY
jppfs_cor:OperatingExpensesRealEstateAbstractRWY,営業費、不動産事業営業利益、鉄道事業 [タイトル項目],Operating expenses,Operating expenses-real estate-RWY [abstract]
jppfs_cor:CostOfSalesOERealEstate,売上原価、営業費、不動産事業、鉄道事業,Cost of sales,Cost of sales-OE-real estate-RWY
jppfs_cor:CostOfSalesRealEstateOERealEstate,不動産事業売上原価、営業費、不動産事業、鉄道事業,Cost of sales - real estate,Cost of sales-real estate-OE-real estate-RWY
jppfs_cor:SellingGeneralAndAdministrativeExpensesOERealEstate,販売費及び一般管理費、営業費、不動産事業、鉄道事業,"Selling, general and administrative expenses","Selling, general and administrative expenses-OE-real estate-RWY"
jppfs_cor:GeneralAndAdministrativeExpensesOERealEstate,一般管理費、営業費、不動産事業、鉄道事業,General and administrative expenses,General and administrative expenses-OE-real estate-RWY
jppfs_cor:TaxesOERealEstate,諸税、営業費、不動産事業、鉄道事業,Taxes,Taxes-OE-real estate-RWY
jppfs_cor:DepreciationOERealEstate,減価償却費、営業費、不動産事業、鉄道事業,Depreciation,Depreciation-OE-real estate-RWY
jppfs_cor:OperatingIncomeLeaseOERealEstate,賃貸事業営業費、営業費、不動産事業、鉄道事業,Operating expenses - lease,Operating expenses-lease-OE-real estate-RWY
jppfs_cor:OperatingExpensesRealEstateRWY,不動産事業営業費、鉄道事業,Operating expenses - real estate,Operating expenses-real estate-RWY
jppfs_cor:OperatingIncomeRealEstateRWY,不動産事業営業利益又は不動産事業営業損失（△）、鉄道事業,Operating profit (loss) - real estate,Operating profit (loss) - real estate - RWY
jppfs_cor:OperatingIncomeDevelopmentAbstractRWY,開発事業営業利益、鉄道事業 [タイトル項目],Operating profit - development,Operating profit - development - RWY [abstract]
jppfs_cor:OperatingRevenueDevelopmentAbstractRWY,営業収益、開発事業営業利益、鉄道事業 [タイトル項目],Operating revenue,Operating revenue-development-RWY [abstract]
jppfs_cor:RevenueLandAndBuildingSaleInLotsORDevelopment,土地建物分譲収入、営業収益、開発事業、鉄道事業,Revenue - land and building sale in lots,Revenue-land and building sale in lots-OR-development-RWY
jppfs_cor:RevenueLandAndBuildingLeaseORDevelopment,土地建物賃貸収入、営業収益、開発事業、鉄道事業,Revenue - land and building lease,Revenue-land and building lease-OR-development-RWY
jppfs_cor:RevenueLeaseORDevelopment,賃貸収入、営業収益、開発事業、鉄道事業,Revenue - lease,Revenue-lease-OR-development-RWY
jppfs_cor:RevenueSportsFacilitiesORDevelopment,スポーツ施設収入、営業収益、開発事業、鉄道事業,Revenue - sports facilities,Revenue-sports facilities-OR-development-RWY
jppfs_cor:RevenueHotelORDevelopment,ホテル事業収入、営業収益、開発事業、鉄道事業,Revenue - hotel,Revenue-hotel-OR-development-RWY
jppfs_cor:RevenueOtherLeisureORIncidental,その他のレジャー事業収入、営業収益、開発事業、鉄道事業,Revenue - other leisure,Revenue-other leisure-OR-incidental-RWY
jppfs_cor:RevenueOtherORDevelopment,その他の収入、営業収益、開発事業、鉄道事業,Revenue - other,Revenue-other-OR-development-RWY
jppfs_cor:OperatingRevenueDevelopmentRWY,開発事業営業収益、鉄道事業,Operating revenue - development,Operating revenue-development-RWY
jppfs_cor:OperatingExpensesDevelopmentAbstractRWY,営業費、開発事業営業利益、鉄道事業 [タイトル項目],Operating expenses,Operating expenses-development-RWY [abstract]
jppfs_cor:CostOfSalesOEDevelopment,売上原価、営業費、開発事業、鉄道事業,Cost of sales,Cost of sales-OE-development-RWY
jppfs_cor:SellingGeneralAndAdministrativeExpensesOEDevelopment,販売費及び一般管理費、営業費、開発事業、鉄道事業,"Selling, general and administrative expenses","Selling, general and administrative expenses-OE-development-RWY"
jppfs_cor:DepreciationOEDevelopment,減価償却費、営業費、開発事業、鉄道事業,Depreciation,Depreciation-OE-development-RWY
jppfs_cor:TaxesOEDevelopment,諸税、営業費、開発事業、鉄道事業,Taxes,Taxes-OE-development-RWY
jppfs_cor:OperatingExpensesDevelopmentRWY,開発事業営業費、鉄道事業,Operating expenses - development,Operating expenses-development-RWY
jppfs_cor:OperatingIncomeDevelopmentRWY,開発事業営業利益又は開発事業営業損失（△）、鉄道事業,Operating profit (loss) - development,Operating profit (loss) - development - RWY
jppfs_cor:OperatingIncomeIncidentalAbstractRWY,付帯事業営業利益、鉄道事業 [タイトル項目],Operating profit - incidental,Operating profit - incidental - RWY [abstract]
jppfs_cor:OperatingRevenueIncidentalAbstractRWY,営業収益、付帯事業営業利益、鉄道事業 [タイトル項目],Operating revenue,Operating revenue-incidental-RWY [abstract]
jppfs_cor:RevenueRealEstateLeaseORIncidental,不動産賃貸事業収入、営業収益、付帯事業、鉄道事業,Revenue - real estate lease,Revenue-real estate lease-OR-incidental-RWY
jppfs_cor:RevenueRealEstateSalesORIncidental,不動産販売事業収入、営業収益、付帯事業、鉄道事業,Revenue - real estate sales,Revenue-real estate sales-OR-incidental-RWY
jppfs_cor:LandAndBuildingSalesORIncidental,土地建物売上高、営業収益、付帯事業、鉄道事業,Land and building sales,Land and building sales-OR-incidental-RWY
jppfs_cor:RevenueLandAndBuildingLeaseORIncidental,土地建物賃貸収入、営業収益、付帯事業、鉄道事業,Revenue - land and building lease,Revenue-land and building lease-OR-incidental-RWY
jppfs_cor:RevenueAdvertisingORIncidental,広告収入、営業収益、付帯事業、鉄道事業,Revenue - advertising,Revenue-advertising-OR-incidental-RWY
jppfs_cor:RevenueRealEstateORIncidental,不動産事業収入、営業収益、付帯事業、鉄道事業,Revenue - real estate,Revenue-real estate-OR-incidental-RWY
jppfs_cor:RevenueInsuranceAgencyORIncidental,保険代理店事業収入、営業収益、付帯事業、鉄道事業,Revenue - insurance agency,Revenue-insurance agency-OR-incidental-RWY
jppfs_cor:RevenueMerchandiseORIncidental,流通事業収入、営業収益、付帯事業、鉄道事業,Revenue - merchandise,Revenue-merchandise-OR-incidental-RWY
jppfs_cor:RevenuePlayGardenORIncidental,遊園事業収入、営業収益、付帯事業、鉄道事業,Revenue - play garden,Revenue-play garden-OR-incidental-RWY
jppfs_cor:RevenueLandAndBuildingORIncidental,土地建物事業収入、営業収益、付帯事業、鉄道事業,Revenue - land and building,Revenue-land and building-OR-incidental-RWY
jppfs_cor:RevenueLeisureIncidental,レジャー事業収入、付帯事業、鉄道事業,Revenue - leisure,Revenue-leisure-incidental-RWY
jppfs_cor:RevenueTourismORIncidental,観光事業収入、営業収益、付帯事業、鉄道事業,Revenue - tourism,Revenue-tourism-OR-incidental-RWY
jppfs_cor:RevenueParkingAreaORIncidental,駐車場事業収入、営業収益、付帯事業、鉄道事業,Revenue - parking area,Revenue-parking area-OR-incidental-RWY
jppfs_cor:RevenueLandAndBuildingSaleInLotsORIncidental,土地建物分譲収入、営業収益、付帯事業、鉄道事業,Revenue - land and building sale in lots,Revenue-land and building sale in lots-OR-incidental-RWY
jppfs_cor:RevenueAutomobileMaintenanceORIncidental,自動車整備収入、営業収益、付帯事業、鉄道事業,Revenue - automobile maintenance,Revenue-automobile maintenance-OR-incidental-RWY
jppfs_cor:RevenueOtherBusinessORIncidental,その他の事業収入、営業収益、付帯事業、鉄道事業,Revenue - other,Revenue-other business-OR-incidental-RWY
jppfs_cor:RevenueOtherORIncidental,その他の収入、営業収益、付帯事業、鉄道事業,Revenue - other,Revenue-other-OR-incidental-RWY
jppfs_cor:OperatingRevenueIncidentalRWY,付帯事業営業収益、鉄道事業,Operating revenue - incidental,Operating revenue-incidental-RWY
jppfs_cor:OperatingExpensesIncidentalAbstractRWY,営業費、付帯事業営業利益、鉄道事業 [タイトル項目],Operating expenses,Operating expenses-incidental-RWY [abstract]
jppfs_cor:CostOfSalesOEIncidental,売上原価、営業費、付帯事業、鉄道事業,Cost of sales,Cost of sales-OE-incidental-RWY
jppfs_cor:DepreciationOEIncidental,減価償却費、営業費、付帯事業、鉄道事業,Depreciation,Depreciation-OE-incidental-RWY
jppfs_cor:SellingGeneralAndAdministrativeExpensesOEIncidental,販売費及び一般管理費、営業費、付帯事業、鉄道事業,"Selling, general and administrative expenses","Selling, general and administrative expenses-OE-incidental-RWY"
jppfs_cor:TaxesOEIncidental,諸税、営業費、付帯事業、鉄道事業,Taxes,Taxes-OE-incidental-RWY
jppfs_cor:OperatingExpensesLandAndBuildingOEIncidental,土地建物営業費、営業費、付帯事業、鉄道事業,Operating expenses - land and building,Operating expenses-land and building-OE-incidental-RWY
jppfs_cor:OperatingExpensesIncidentalRWY,付帯事業営業費、鉄道事業,Operating expenses - incidental,Operating expenses-incidental-RWY
jppfs_cor:OperatingIncomeIncidentalRWY,付帯事業営業利益又は付帯事業営業損失（△）、鉄道事業,Operating profit (loss) - incidental,Operating profit (loss) - incidental - RWY
jppfs_cor:OperatingIncomeOtherAbstractRWY,その他事業営業利益、鉄道事業 [タイトル項目],Operating profit - other,Operating profit - other - RWY [abstract]
jppfs_cor:OperatingRevenueOtherAbstractRWY,営業収益、その他事業営業利益、鉄道事業 [タイトル項目],Operating revenue,Operating revenue-other-RWY [abstract]
jppfs_cor:RevenueOtherOROther,その他の収入、営業収益、その他事業、鉄道事業,Revenue - other,Revenue-other-OR-other-RWY
jppfs_cor:RevenueRealEstateOROther,不動産事業収入、営業収益、その他事業、鉄道事業,Revenue - real estate,Revenue-real estate-OR-other-RWY
jppfs_cor:RevenueOtherBusinessOROther,その他の事業収入、営業収益、その他事業、鉄道事業,Revenue - other,Revenue-other business-OR-other-RWY
jppfs_cor:RevenueGoodsSalesOROther,物品販売業収入、営業収益、その他事業、鉄道事業,Revenue - goods sales,Revenue-goods sales-OR-other-RWY
jppfs_cor:GoodsSalesOROther,商品売上高、営業収益、その他事業、鉄道事業,Goods sales,Goods sales-OR-other-RWY
jppfs_cor:RevenueRestaurantOROther,食堂収入、営業収益、その他事業、鉄道事業,Revenue - restaurant,Revenue-restaurant-OR-other-RWY
jppfs_cor:RevenueStandOROther,売店収入、営業収益、その他事業、鉄道事業,Revenue - stand,Revenue-stand-OR-other-RWY
jppfs_cor:RevenueTravelOROther,旅行業収入、営業収益、その他事業、鉄道事業,Revenue - travel,Revenue-travel-OR-other-RWY
jppfs_cor:OperatingRevenueOtherRWY,その他事業営業収益、鉄道事業,Operating revenue - other,Operating revenue-other-RWY
jppfs_cor:OperatingExpensesOtherAbstractRWY,営業費、その他事業営業利益、鉄道事業 [タイトル項目],Operating expenses,Operating expenses-other-RWY [abstract]
jppfs_cor:CostOfSalesOEOtherRWY,売上原価、営業費、その他事業、鉄道事業,Cost of sales,Cost of sales-OE-other-RWY
jppfs_cor:CostOfGoodsSalesOEOther,商品売上原価、営業費、その他事業、鉄道事業,Cost of goods sales,Cost of goods sales-OE-other-RWY
jppfs_cor:SellingGeneralAndAdministrativeExpensesOEOther,販売費及び一般管理費、営業費、その他事業、鉄道事業,"Selling, general and administrative expenses","Selling, general and administrative expenses-OE-other-RWY"
jppfs_cor:TaxesOEOther,諸税、営業費、その他事業、鉄道事業,Taxes,Taxes-OE-other-RWY
jppfs_cor:DepreciationOEOtherRWY,減価償却費、営業費、その他事業、鉄道事業,Depreciation,Depreciation-OE-other-RWY
jppfs_cor:OperatingExpensesOtherRWY,その他事業営業費、鉄道事業,Operating expenses - other,Operating expenses-other-RWY
jppfs_cor:OperatingIncomeOtherRWY,その他事業営業利益又はその他事業営業損失（△）、鉄道事業,Operating profit (loss) - other,Operating profit (loss) - other - RWY
jppfs_cor:OperatingIncomeSideLineAbstractRWY,兼業営業利益、鉄道事業 [タイトル項目],Operating profit - side line,Operating profit - side line - RWY [abstract]
jppfs_cor:OperatingRevenueSideLineAbstractRWY,営業収益、兼業営業利益、鉄道事業 [タイトル項目],Operating revenue - side line,Operating revenue-side line-RWY [abstract]
jppfs_cor:RevenueLeaseORSideLine,賃貸収入、営業収益、兼業、鉄道事業,Revenue - lease,Revenue-lease-OR-side line-RWY
jppfs_cor:AirCargoRevenueORSideLine,航空貨物収入、営業収益、兼業、鉄道事業,Air cargo revenue,Air cargo revenue-OR-side line-RWY
jppfs_cor:LandAndBuildingSalesORSideLine,土地建物売上高、営業収益、兼業、鉄道事業,Land and building sales,Land and building sales-OR-side line-RWY
jppfs_cor:RevenueOtherORSideLine,その他の事業収入、営業収益、兼業、鉄道事業,Revenue - other,Revenue-other-OR-side line-RWY
jppfs_cor:RevenueEatingORSideLine,飲食業収入、営業収益、兼業、鉄道事業,Revenue - eating,Revenue-eating-OR-side line-RWY
jppfs_cor:GoodsAndEatingSalesORSideLine,商品飲食品売上高、営業収益、兼業、鉄道事業,Goods and eating sales,Goods and eating sales-OR-side line-RWY
jppfs_cor:RevenueLandAndBuildingSaleInLotsORSideLine,土地建物分譲収入、営業収益、兼業、鉄道事業,Revenue - land and building sale in lots,Revenue-land and building sale in lots-OR-side line-RWY
jppfs_cor:RevenueGoodsSalesORSideLine,物品販売業収入、営業収益、兼業、鉄道事業,Revenue - goods sales,Revenue-goods sales-OR-side line-RWY
jppfs_cor:OtherRevenueORSideLine,その他の収入、営業収益、兼業、鉄道事業,Other revenue,Other revenue-OR-side line-RWY
jppfs_cor:OperatingRevenueSideLineRWY,兼業営業収益、鉄道事業,Operating revenue - side line,Operating revenue-side line-RWY
jppfs_cor:OperatingExpensesSideLineAbstractRWY,営業費、兼業営業利益、鉄道事業 [タイトル項目],Operating expenses,Operating expenses-side line-RWY [abstract]
jppfs_cor:CostOfSalesOESideLineRWY,売上原価、営業費、兼業、鉄道事業,Cost of sales,Cost of sales-OE-side line-RWY
jppfs_cor:OperatingExpensesTravelOESideLine,旅行業営業費、営業費、兼業、鉄道事業,Operating expenses - travel,Operating expenses-travel-OE-side line-RWY
jppfs_cor:SellingGeneralAndAdministrativeExpensesOESideLine,販売費及び一般管理費、営業費、兼業、鉄道事業,"Selling, general and administrative expenses","Selling, general and administrative expenses-OE-side line-RWY"
jppfs_cor:TaxesOESideLine,諸税、営業費、兼業、鉄道事業,Taxes,Taxes-OE-side line-RWY
jppfs_cor:DepreciationOESideLineRWY,減価償却費、営業費、兼業、鉄道事業,Depreciation,Depreciation-OE-side line-RWY
jppfs_cor:OperatingExpensesSideLineRWY,兼業営業費、鉄道事業,Operating expenses - side line,Operating expenses-side line-RWY
jppfs_cor:OperatingIncomeSideLineRWY,兼業営業利益又は兼業営業損失（△）、鉄道事業,Operating profit (loss) - side line,Operating profit (loss) - side line - RWY
jppfs_cor:OperatingIncomeRailroadAbstractRWY,鉄軌道事業営業利益、鉄道事業 [タイトル項目],Operating profit - railroad,Operating profit - railroad - RWY [abstract]
jppfs_cor:OperatingRevenueRailroadAbstractRWY,営業収益、鉄軌道事業営業利益、鉄道事業 [タイトル項目],Operating revenue,Operating revenue-railroad-RWY [abstract]
jppfs_cor:OperatingRevenueRailroadRWY,鉄軌道事業営業収益、鉄道事業,Operating revenue - railroad,Operating revenue-railroad-RWY
jppfs_cor:OperatingExpensesRailroadAbstractRWY,営業費、鉄軌道事業営業利益、鉄道事業 [タイトル項目],Operating expenses,Operating expenses-railroad-RWY [abstract]
jppfs_cor:OperatingExpensesRailroadRWY,鉄軌道事業営業費、鉄道事業,Operating expenses - railroad,Operating expenses-railroad-RWY
jppfs_cor:OperatingIncomeRailroadOERWY,鉄軌道事業営業利益又は鉄軌道事業営業損失（△）、鉄道事業,Operating profit (loss) - railroad,Operating profit (loss) - railroad - OE - RWY
jppfs_cor:OperatingIncome,営業利益又は営業損失（△）,Operating profit (loss),Operating profit (loss)
jppfs_cor:OperatingRevenueTotalRWY,全事業営業収益、鉄道事業,Operating revenue - total,Operating revenue-total-RWY
jppfs_cor:OperatingExpensesTotalRWY,全事業営業費、鉄道事業,Operating expenses - total,Operating expenses-total-RWY
jppfs_cor:OperatingRevenueRWY,営業収益、鉄道事業,Operating revenue,Operating revenue-RWY
jppfs_cor:OperatingExpensesAbstractRWY,営業費、鉄道事業 [タイトル項目],Operating expenses,Operating expenses-RWY [abstract]
jppfs_cor:OperatingExpensesAndCostOfSalesOfTransportationRWY,運輸業等営業費及び売上原価、鉄道事業,Operating expenses and cost of sales of transportation,Operating expenses and cost of sales of transportation-RWY
jppfs_cor:SellingGeneralAndAdministrativeExpenses,販売費及び一般管理費,"Selling, general and administrative expenses","Selling, general and administrative expenses"
jppfs_cor:OperatingExpensesRWY,営業費、鉄道事業,Operating expenses,Operating expenses-RWY
jppfs_cor:NonOperatingIncomeAbstract,営業外収益 [タイトル項目],Non-operating income,Non-operating income [abstract]
jppfs_cor:InterestAndDiscountsEarnedNOIRWY,受取利息・割引料、営業外収益,Interest and discounts earned,Interest and discounts earned-NOI-RWY
jppfs_cor:InterestOnSecuritiesNOI,有価証券利息、営業外収益,Interest on securities,Interest on securities-NOI
jppfs_cor:DividendsIncomeNOI,受取配当金、営業外収益,Dividend income,Dividend income-NOI
jppfs_cor:GainOnSalesOfSecuritiesNOI,有価証券売却益、営業外収益,Gain on sales of securities,Gain on sales of securities-NOI
jppfs_cor:GainOnValuationOfSecuritiesNOI,有価証券評価益、営業外収益,Gain on valuation of securities,Gain on valuation of securities-NOI
jppfs_cor:GainOnSalesOfGoodsNOIRWY,物品売却益、営業外収益、鉄道事業,Gain on sales of goods,Gain on sales of goods-NOI-RWY
jppfs_cor:RevenueLandRentNOIRWY,土地物件貸付料、営業外収益、鉄道事業,Revenue - land rent,Revenue-land rent-NOI-RWY
jppfs_cor:ReversalOfClericalCostsOnWorkPerformedOnContractNOIRWY,受託工事事務費戻入、営業外収益、鉄道事業,Reversal of clerical costs on work performed on contract,Reversal of clerical costs on work performed on contract-NOI-RWY
jppfs_cor:MiscellaneousIncomeNOIRWY,雑収入、営業外収益、鉄道事業,Miscellaneous income,Miscellaneous income-NOI-RWY
jppfs_cor:NonOperatingIncome,営業外収益,Non-operating income,Non-operating income
jppfs_cor:NonOperatingExpensesAbstract,営業外費用 [タイトル項目],Non-operating expenses,Non-operating expenses [abstract]
jppfs_cor:InterestAndDiscountsExpensesNOERWY,支払利息・割引料、営業外費用,Interest and discounts expenses,Interest and discounts expenses-NOE-RWY
jppfs_cor:InterestOnBondsNOE,社債利息、営業外費用,Interest on bonds,Interest on bonds-NOE
jppfs_cor:LossOnSalesOfSecuritiesNOE,有価証券売却損、営業外費用,Loss on sales of securities,Loss on sales of securities-NOE
jppfs_cor:LossOnValuationOfSecuritiesNOE,有価証券評価損、営業外費用,Loss on valuation of securities,Loss on valuation of securities-NOE
jppfs_cor:LossOnSalesOfGoodsNOERWY,物品売却損、営業外費用、鉄道事業,Loss on sales of goods,Loss on sales of goods-NOE-RWY
jppfs_cor:InterestOnLongTermAccountsPayableRailwayEquipmentRWY,鉄道施設購入長期未払金利息、鉄道事業,Interest on long-term accounts payable - railway equipment,Interest on long term accounts payable-railway equipment-RWY
jppfs_cor:LossOnLongTermAccountsPayableRailwayFacilitiesRWY,鉄道施設購入長期未払金返済損、鉄道事業,Loss on long-term accounts payable - railway facilities,Loss on long term accounts payable-railway facilities-RWY
jppfs_cor:MiscellaneousExpensesNOERWY,雑支出、営業外費用、鉄道事業,Miscellaneous expenses,Miscellaneous expenses-NOE-RWY
jppfs_cor:NonOperatingExpenses,営業外費用,Non-operating expenses,Non-operating expenses
jppfs_cor:OrdinaryIncome,経常利益又は経常損失（△）,Ordinary profit (loss),Ordinary profit (loss)
jppfs_cor:ExtraordinaryIncomeAbstract,特別利益 [タイトル項目],Extraordinary income,Extraordinary income [abstract]
jppfs_cor:GainOnSalesOfNoncurrentAssetsEI,固定資産売却益、特別利益,Gain on sales of non-current assets,Gain on sales of non-current assets-EI
jppfs_cor:SubsidyEIRWY,補助金、特別利益、鉄道事業,Subsidy,Subsidy-EI-RWY
jppfs_cor:EvaluationOnRailwayFacilitiesAsReceivedPropertyEIRWY,鉄道施設受贈財産評価額、特別利益、鉄道事業,Evaluation on railway facilities as received property,Evaluation on railway facilities as received property-EI-RWY
jppfs_cor:DonationForRailwayFacilitiesConstructionEIRWY,鉄道施設建設受入寄附金、特別利益、鉄道事業,Donation for railway facilities construction,Donation for railway facilities construction-EI-RWY
jppfs_cor:ReversalOfSpecialReserveForExpansionOfRailwayTransportCapacityEIRWY,特定都市鉄道整備準備金取崩額、特別利益、鉄道事業,Reversal of special reserve for expansion of railway transport capacity,Reversal of special reserve for expansion of railway transport capacity-EI-RWY
jppfs_cor:ExtraordinaryIncome,特別利益,Extraordinary income,Extraordinary income
jppfs_cor:ExtraordinaryLossAbstract,特別損失 [タイトル項目],Extraordinary losses,Extraordinary losses [abstract]
jppfs_cor:LossOnSalesOfNoncurrentAssetsEL,固定資産売却損、特別損失,Loss on sales of non-current assets,Loss on sales of non-current assets-EL
jppfs_cor:ImpairmentLossEL,減損損失、特別損失,Impairment loss,Impairment loss-EL
jppfs_cor:NonrecurringLossEL,臨時損失、特別損失,Nonrecurring loss,Nonrecurring loss-EL
jppfs_cor:RetirementExpensesELRWY,除却費、特別損失、鉄道事業,Retirement expenses,Retirement expenses-EL-RWY
jppfs_cor:AmortizationOfDeferredDisasterLossRWY,災害損失等繰延額償却、鉄道事業,Amortization of deferred disaster loss,Amortization of deferred disaster loss-RWY
