タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
jppfs_cor:TelephoneSubscriptionRightRWY,電話加入権、鉄道事業,Telephone subscription right,Telephone subscription right-RWY
jppfs_cor:RightOfUsingFacilitiesOfMutualDirectCommunicationRWY,相互直通施設利用権、鉄道事業,Right of using facilities of mutual direct communication,Right of using facilities of mutual direct communication-RWY
jppfs_cor:RightOfUsingRailwayCommunicationFacilitiesInProgressRWY,鉄道連絡通行施設利用権仮勘定、鉄道事業,Right of using railway communication facilities in progress,Right of using railway communication facilities in progress-RWY
jppfs_cor:NoncurrentAssetsRailwayRWY,鉄道事業固定資産、鉄道事業,Non-current assets - railway,Non-current assets - railway-RWY
jppfs_cor:NoncurrentAssetsRelatedAbstractRWY,関連事業固定資産、鉄道事業 [タイトル項目],Non-current assets - related,Non-current assets - related-RWY [abstract]
jppfs_cor:PropertyPlantAndEquipmentNCARelatedRWY,有形固定資産、関連事業固定資産、鉄道事業,"Property, plant and equipment","Property, plant and equipment-NCA-related-RWY"
jppfs_cor:AccumulatedDepreciationPPERelatedRWY,減価償却累計額、関連事業有形固定資産、鉄道事業,Accumulated depreciation,Accumulated depreciation-PPE-related-RWY
jppfs_cor:PropertyPlantAndEquipmentNetNCARelatedRWY,有形固定資産（純額）、関連事業固定資産、鉄道事業,"Property, plant and equipment, net","Property, plant and equipment, net-NCA-related-RWY"
jppfs_cor:IntangibleAssetsRelatedRWY,無形固定資産、関連事業固定資産、鉄道事業,Intangible assets,Intangible assets-related-RWY
jppfs_cor:NoncurrentAssetsRelatedRWY,関連事業固定資産、鉄道事業,Non-current assets - related,Non-current assets - related-RWY
jppfs_cor:NoncurrentAssetsAffiliatedAbstractRWY,各事業関連固定資産、鉄道事業 [タイトル項目],Non-current assets - affiliated,Non-current assets - affiliated-RWY [abstract]
jppfs_cor:PropertyPlantAndEquipmentNCAAffiliatedRWY,有形固定資産、各事業関連固定資産、鉄道事業,"Property, plant and equipment","Property, plant and equipment-NCA-affiliated-RWY"
jppfs_cor:AccumulatedDepreciationNCAAffiliatedRWY,減価償却累計額、各事業関連固定資産、鉄道事業,Accumulated depreciation,Accumulated depreciation-NCA-affiliated-RWY
jppfs_cor:PropertyPlantAndEquipmentNetNCAAffiliatedRWY,有形固定資産（純額）、各事業関連固定資産、鉄道事業,"Property, plant and equipment, net","Property, plant and equipment, net-NCA-affiliated-RWY"
jppfs_cor:IntangibleAssetsAffiliatedRWY,無形固定資産、各事業関連固定資産、鉄道事業,Intangible assets,Intangible assets-affiliated-RWY
jppfs_cor:NoncurrentAssetsAffiliatedRWY,各事業関連固定資産、鉄道事業,Non-current assets - affiliated,Non-current assets - affiliated-RWY
jppfs_cor:ConstructionInProgressAbstractRWY,建設仮勘定、鉄道事業 [タイトル項目],Construction in progress,Construction in progress-RWY [abstract]
jppfs_cor:ConstructionInProgressRailwayRWY,鉄道事業、建設仮勘定、鉄道事業,Construction in progress - railway,Construction in progress-railway-RWY
jppfs_cor:ConstructionInProgressRWY,建設仮勘定、鉄道事業,Construction in progress,Construction in progress-RWY
jppfs_cor:ConstructionInProgressOtherRWY,その他、建設仮勘定、鉄道事業,Construction in progress - other,Construction in progress-other-RWY
jppfs_cor:ConstructionInProgressOtherBusinessRWY,その他の事業、建設仮勘定、鉄道事業,Construction in progress - other business,Construction in progress-other business-RWY
jppfs_cor:ConstructionInProgressRealEstateRWY,不動産事業、建設仮勘定、鉄道事業,Construction in progress - real estate,Construction in progress-real estate-RWY
jppfs_cor:ConstructionInProgressRelatedRWY,関連事業、建設仮勘定、鉄道事業,Construction in progress - related,Construction in progress-related-RWY
jppfs_cor:ConstructionInProgressAutomobileRWY,自動車事業、建設仮勘定、鉄道事業,Construction in progress - automobile,Construction in progress-automobile-RWY
jppfs_cor:ConstructionInProgressRailroadRWY,鉄軌道事業、建設仮勘定、鉄道事業,Construction in progress - railroad,Construction in progress-railroad-RWY
jppfs_cor:ConstructionInProgressIncidentalRWY,付帯事業、建設仮勘定、鉄道事業,Construction in progress - incidental,Construction in progress-incidental-RWY
jppfs_cor:ConstructionInProgressDevelopmentRWY,開発事業、建設仮勘定、鉄道事業,Construction in progress - development,Construction in progress-development-RWY
