jppfs_cor:AllowanceForDoubtfulAccountsShortTermClaimsOnShareholdersDirectorsOrEmployees,貸倒引当金、株主、役員又は従業員に対する短期債権,Allowance for doubtful accounts,"Allowance for doubtful accounts, Short-term claims on shareholders, directors (and other officers) or employees"
jppfs_cor:ShortTermClaimsOnShareholdersDirectorsOrEmployeesNet,株主、役員又は従業員に対する短期債権（純額）,"Short-term claims on shareholders, directors (and other officers) or employees, net","Short-term claims on shareholders, directors (and other officers) or employees, net"
jppfs_cor:ShortTermLoansReceivable,短期貸付金,Short-term loans receivable,Short-term loans receivable
jppfs_cor:AllowanceForDoubtfulAccountsShortTermLoans,貸倒引当金、短期貸付金,Allowance for doubtful accounts,Allowance for doubtful accounts-short-term loans
jppfs_cor:ShortTermLoansReceivableNet,短期貸付金（純額）,"Short-term loans receivable, net","Short-term loans receivable, net"
jppfs_cor:ShortTermLoansReceivableToSubsidiariesAndAffiliates,関係会社短期貸付金,Short-term loans receivable from subsidiaries and associates,Short-term loans receivable from subsidiaries and associates
jppfs_cor:AllowanceForDoubtfulAccountsShortTermLoansReceivableFromSubsidiariesAndAffiliates,貸倒引当金、関係会社短期貸付金,Allowance for doubtful accounts,Allowance for doubtful accounts-short-term loans receivable from subsidiaries and affiliates
jppfs_cor:ShortTermLoansReceivableToSubsidiariesAndAffiliatesNet,関係会社短期貸付金（純額）,"Short-term loans receivable from subsidiaries and associates, net","Short-term loans receivable from subsidiaries and associates, net"
jppfs_cor:AccountsReceivableOther,未収入金,Accounts receivable - other,Accounts receivable-other
jppfs_cor:AccountsReceivableOtherFromSubsidiariesAndAffiliates,関係会社未収入金,Accounts receivable from subsidiaries and associates - other,Accounts receivable from subsidiaries and associates - other
