jppfs_cor:TransferFromOtherAccountNCLGAS,他会計からの繰入金、固定負債、ガス事業,Transfer from other account,Transfer from other account-NCL-GAS
jppfs_cor:DeferredTaxLiabilitiesNCL,繰延税金負債、固定負債,Deferred tax liabilities,Deferred tax liabilities-NCL
jppfs_cor:ProvisionForRetirementBenefits,退職給付引当金,Provision for retirement benefits,Provision for retirement benefits
jppfs_cor:AssetRetirementObligationsNCL,資産除去債務、固定負債,Asset retirement obligations,Asset retirement obligations-NCL
jppfs_cor:NegativeGoodwill,負ののれん,Negative goodwill,Negative goodwill
jppfs_cor:ProvisionForGasHolderRepairsGAS,ガスホルダー修繕引当金、ガス事業,Provision for gas holder repairs,Provision for gas holder repairs-GAS
jppfs_cor:ProvisionForSafetyMeasuresGAS,保安対策引当金、ガス事業,Provision for safety measures,Provision for safety measures-GAS
jppfs_cor:OtherNCL,その他、固定負債,Other,Other-NCL
jppfs_cor:NoncurrentLiabilities,固定負債,Non-current liabilities,Non-current liabilities
jppfs_cor:CurrentLiabilitiesAbstract,流動負債 [タイトル項目],Current liabilities,Current liabilities [abstract]
jppfs_cor:CurrentPortionOfNoncurrentLiabilitiesCLGAS,1年以内に期限到来の固定負債、流動負債、ガス事業,Current portion of non-current liabilities,Current portion of non-current liabilities-CL-GAS
jppfs_cor:NotesAndAccountsPayableTrade,支払手形及び買掛金,Notes and accounts payable - trade,Notes and accounts payable-trade
jppfs_cor:NotesPayableTrade,支払手形,Notes payable - trade,Notes payable-trade
jppfs_cor:AccountsPayableTrade,買掛金,Accounts payable - trade,Accounts payable-trade
jppfs_cor:ShortTermLoansPayable,短期借入金,Short-term loans payable,Short-term loans payable
jppfs_cor:AccountsPayableOther,未払金,Accounts payable - other,Accounts payable-other
jppfs_cor:AccruedExpenses,未払費用,Accrued expenses,Accrued expenses
jppfs_cor:IncomeTaxesPayable,未払法人税等,Income taxes payable,Income taxes payable
jppfs_cor:DeferredTaxLiabilitiesCL,繰延税金負債、流動負債,Deferred tax liabilities,Deferred tax liabilities-CL
jppfs_cor:AdvancesReceived,前受金,Advances received,Advances received
jppfs_cor:DepositsReceived,預り金,Deposits received,Deposits received
jppfs_cor:ShortTermDebtToSubsidiariesAndAffiliatesCLGAS,関係会社短期債務、流動負債、ガス事業,Short-term debt to subsidiaries and associates,Short-term debt to subsidiaries and associates-CL-GAS
jppfs_cor:AssetRetirementObligationsCL,資産除去債務、流動負債,Asset retirement obligations,Asset retirement obligations-CL
jppfs_cor:CurrentLiabilitiesForIncidentalBusinessesCLGAS,附帯事業流動負債、流動負債、ガス事業,Current liabilities for incidental businesses,Current liabilities for incidental businesses-CL-GAS
jppfs_cor:OtherCL,その他、流動負債,Other,Other-CL
jppfs_cor:CurrentLiabilities,流動負債,Current liabilities,Current liabilities
