タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
jppfs_cor:PatentRightIANCATelecommunications,特許権、無形固定資産、電気通信事業固定資産,Patent right,Patent right-IA-NCA-telecommunications
jppfs_cor:LeaseholdRightIANCATelecommunications,借地権、無形固定資産、電気通信事業固定資産,Leasehold right,Leasehold right-IA-NCA-telecommunications
jppfs_cor:LeaseAssetsIANCATelecommunications,リース資産、無形固定資産、電気通信事業固定資産,Leased assets,Leased assets-IA-NCA-telecommunications
jppfs_cor:OtherIntangibleAssetsIANCATelecommunications,その他の無形固定資産、無形固定資産、電気通信事業固定資産,Other intangible assets,Other intangible assets-IA-NCA-telecommunications
jppfs_cor:IntangibleAssetsNCATelecommunications,無形固定資産、電気通信事業固定資産,Intangible assets,Intangible assets-NCA-telecommunications
jppfs_cor:NoncurrentAssetsTelecommunicationsBusinessELC,電気通信事業固定資産、電気通信事業,Non-current assets - telecommunications business,Non-current assets - telecommunications business-ELC
jppfs_cor:IncidentalBusinessFacilitiesAbstractELC,附帯事業固定資産、電気通信事業 [タイトル項目],Incidental business facilities,Incidental business facilities-ELC [abstract]
jppfs_cor:PropertyPlantAndEquipmentNCAIncidentalAbstractELC,有形固定資産、附帯事業固定資産、電気通信事業 [タイトル項目],"Property, plant and equipment","Property, plant and equipment-NCA-incidental-ELC [abstract]"
jppfs_cor:PropertyPlantAndEquipmentGrossNCAIncidentalELC,有形固定資産（総額）、附帯事業固定資産、電気通信事業,"Property, plant and equipment, gross","Property, plant and equipment, gross-NCA-incidental-ELC"
jppfs_cor:AccumulatedDepreciationPPEIncidentalELC,減価償却累計額、有形固定資産、附帯事業固定資産、電気通信事業,Accumulated depreciation,Accumulated depreciation-PPE-incidental-ELC
jppfs_cor:PropertyPlantAndEquipmentNCAIncidentalELC,有形固定資産、附帯事業固定資産、電気通信事業,"Property, plant and equipment","Property, plant and equipment-NCA-incidental-ELC"
jppfs_cor:IntangibleAssetsNCAIncidentalAbstractELC,無形固定資産、附帯事業固定資産、電気通信事業 [タイトル項目],Intangible assets,Intangible assets-NCA-incidental-ELC [abstract]
jppfs_cor:IntangibleAssetsNCAIncidentalELC,無形固定資産、附帯事業固定資産、電気通信事業,Intangible assets,Intangible assets-NCA-incidental-ELC
jppfs_cor:NoncurrentAssetsIncidentalBusinessNCAELC,附帯事業固定資産、電気通信事業,Non-current assets - incidental business,Non-current assets - incidental business-NCA-ELC
jppfs_cor:InvestmentsAndOtherAssetsAbstract,投資その他の資産 [タイトル項目],Investments and other assets,Investments and other assets [abstract]
jppfs_cor:InvestmentSecurities,投資有価証券,Investment securities,Investment securities
jppfs_cor:StocksOfParentCompanyIOA,親会社株式、投資その他の資産,Shares of parent,Shares of parent-IOA
jppfs_cor:StocksOfSubsidiariesAndAffiliates,関係会社株式,Shares of subsidiaries and associates,Shares of subsidiaries and associates
jppfs_cor:OtherInvestmentsInSubsidiariesAndAffiliatesIOAELC,その他の関係会社投資、投資その他の資産、電気通信事業,Other investments in subsidiaries and associates,Other investments in subsidiaries and associates-IOA-ELC
jppfs_cor:InvestmentsInCapital,出資金,Investments in capital,Investments in capital
jppfs_cor:InvestmentsInCapitalOfSubsidiariesAndAffiliates,関係会社出資金,Investments in capital of subsidiaries and associates,Investments in capital of subsidiaries and associates
jppfs_cor:LongTermLoansReceivable,長期貸付金,Long-term loans receivable,Long-term loans receivable
jppfs_cor:LongTermLoansReceivableFromInterCompanyInvestmentSecuritiesELC,社内長期貸付金、投資その他の資産、電気通信事業,Long-term loans receivable from inter-company,Long-term loans receivable from inter-company-IOA-ELC
jppfs_cor:LongTermLoansReceivableFromSubsidiariesAndAffiliates,関係会社長期貸付金,Long-term loans receivable from subsidiaries and associates,Long-term loans receivable from subsidiaries and associates
jppfs_cor:LongTermPrepaidExpenses,長期前払費用,Long-term prepaid expenses,Long-term prepaid expenses
jppfs_cor:DeferredTaxAssetsIOA,繰延税金資産、投資その他の資産,Deferred tax assets,Deferred tax assets-IOA
jppfs_cor:OtherIOA,その他、投資その他の資産,Other,Other-IOA
jppfs_cor:AllowanceForDoubtfulAccountsIOAByGroup,貸倒引当金、投資その他の資産、一括控除,Allowance for doubtful accounts,Allowance for doubtful accounts-IOA-by group
jppfs_cor:InvestmentsAndOtherAssets,投資その他の資産,Investments and other assets,Investments and other assets
jppfs_cor:NoncurrentAssets,固定資産,Non-current assets,Non-current assets
jppfs_cor:CurrentAssetsAbstract,流動資産 [タイトル項目],Current assets,Current assets [abstract]
jppfs_cor:CashAndDeposits,現金及び預金,Cash and deposits,Cash and deposits
jppfs_cor:NotesAndAccountsReceivableTrade,受取手形及び売掛金,Notes and accounts receivable - trade,Notes and accounts receivable-trade
jppfs_cor:NotesReceivableTrade,受取手形,Notes receivable - trade,Notes receivable-trade
jppfs_cor:AccountsReceivableTrade,売掛金,Accounts receivable - trade,Accounts receivable-trade
jppfs_cor:AccountsReceivableOther,未収入金,Accounts receivable - other,Accounts receivable-other
jppfs_cor:LeaseReceivablesAndInvestmentAssetsCA,リース債権及びリース投資資産、流動資産,Lease receivables and investment assets,Lease receivables and investment assets-CA
jppfs_cor:LeaseReceivablesCA,リース債権、流動資産,Lease receivables,Lease receivables-CA
jppfs_cor:LeaseInvestmentAssetsCA,リース投資資産、流動資産,Lease investment assets,Lease investment assets-CA
jppfs_cor:ShortTermInvestmentSecurities,有価証券,Securities,Securities
jppfs_cor:StocksOfParentCompanyCA,親会社株式、流動資産,Shares of parent,Shares of parent-CA
jppfs_cor:Supplies,貯蔵品,Supplies,Supplies
jppfs_cor:AdvancePaymentsTrade,前渡金,Advance payments - trade,Advance payments-trade
jppfs_cor:PrepaidExpenses,前払費用,Prepaid expenses,Prepaid expenses
jppfs_cor:DeferredTaxAssetsCA,繰延税金資産、流動資産,Deferred tax assets,Deferred tax assets-CA
jppfs_cor:OtherCA,その他、流動資産,Other,Other-CA
jppfs_cor:AllowanceForDoubtfulAccountsCA,貸倒引当金、流動資産、一括控除,Allowance for doubtful accounts,Allowance for doubtful accounts-CA-by group
jppfs_cor:CurrentAssets,流動資産,Current assets,Current assets
jppfs_cor:DeferredAssetsAbstract,繰延資産 [タイトル項目],Deferred assets,Deferred assets [abstract]
jppfs_cor:DeferredOrganizationExpensesDA,創立費、繰延資産,Deferred organization expenses,Deferred organization expenses-DA
jppfs_cor:BusinessCommencementExpensesDA,開業費、繰延資産,Business commencement expenses,Business commencement expenses-DA
jppfs_cor:StockIssuanceCostDA,株式交付費、繰延資産,Share issuance cost,Share issuance cost-DA
jppfs_cor:BondIssuanceCostDA,社債発行費、繰延資産,Bond issuance cost,Bond issuance cost-DA
jppfs_cor:DevelopmentExpensesDA,開発費、繰延資産,Development expenses,Development expenses-DA
jppfs_cor:DeferredAssets,繰延資産,Deferred assets,Deferred assets
jppfs_cor:Assets,資産,Assets,Assets
jppfs_cor:LiabilitiesAbstract,負債の部 [タイトル項目],Liabilities,Liabilities [abstract]
jppfs_cor:NoncurrentLiabilitiesAbstract,固定負債 [タイトル項目],Non-current liabilities,Non-current liabilities [abstract]
jppfs_cor:BondsPayable,社債,Bonds payable,Bonds payable
jppfs_cor:LongTermLoansPayable,長期借入金,Long-term loans payable,Long-term loans payable
jppfs_cor:LongTermLoansPayableToSubsidiariesAndAffiliates,関係会社長期借入金,Long-term loans payable to subsidiaries and associates,Long-term loans payable to subsidiaries and associates
jppfs_cor:LeaseObligationsNCL,リース債務、固定負債,Lease obligations,Lease obligations-NCL
jppfs_cor:DeferredTaxLiabilitiesNCL,繰延税金負債、固定負債,Deferred tax liabilities,Deferred tax liabilities-NCL
jppfs_cor:ProvisionForRetirementBenefits,退職給付引当金,Provision for retirement benefits,Provision for retirement benefits
jppfs_cor:AssetRetirementObligationsNCL,資産除去債務、固定負債,Asset retirement obligations,Asset retirement obligations-NCL
jppfs_cor:OtherNCL,その他、固定負債,Other,Other-NCL
jppfs_cor:NoncurrentLiabilities,固定負債,Non-current liabilities,Non-current liabilities
jppfs_cor:CurrentLiabilitiesAbstract,流動負債 [タイトル項目],Current liabilities,Current liabilities [abstract]
jppfs_cor:CurrentPortionOfNoncurrentLiabilitiesCLELC,1年以内に期限到来の固定負債、流動負債、電気通信業,Current portion of non-current liabilities,Current portion of non-current liabilities-CL-ELC
jppfs_cor:CurrentPortionOfLongTermLoansPayableToSubsidiariesAndAffiliatesCLELC,1年以内に期限到来の関係会社長期借入金、流動負債、電気通信業,Current portion of long-term loans payable to subsidiaries and associates,Current portion of long-term loans payable to subsidiaries and associates-CL-ELC
jppfs_cor:NotesAndAccountsPayableTrade,支払手形及び買掛金,Notes and accounts payable - trade,Notes and accounts payable-trade
jppfs_cor:NotesPayableTrade,支払手形,Notes payable - trade,Notes payable-trade
jppfs_cor:AccountsPayableTrade,買掛金,Accounts payable - trade,Accounts payable-trade
jppfs_cor:ShortTermLoansPayable,短期借入金,Short-term loans payable,Short-term loans payable
jppfs_cor:LeaseObligationsCL,リース債務、流動負債,Lease obligations,Lease obligations-CL
jppfs_cor:AccountsPayableOther,未払金,Accounts payable - other,Accounts payable-other
jppfs_cor:AccruedExpenses,未払費用,Accrued expenses,Accrued expenses
jppfs_cor:IncomeTaxesPayable,未払法人税等,Income taxes payable,Income taxes payable
jppfs_cor:DeferredTaxLiabilitiesCL,繰延税金負債、流動負債,Deferred tax liabilities,Deferred tax liabilities-CL
jppfs_cor:AdvancesReceived,前受金,Advances received,Advances received
jppfs_cor:DepositsReceived,預り金,Deposits received,Deposits received
jppfs_cor:DepositsReceivedFromEmployees,従業員預り金,Deposits received from employees,Deposits received from employees
jppfs_cor:UnearnedRevenue,前受収益,Unearned revenue,Unearned revenue
jppfs_cor:AssetRetirementObligationsCL,資産除去債務、流動負債,Asset retirement obligations,Asset retirement obligations-CL
jppfs_cor:OtherCL,その他、流動負債,Other,Other-CL
jppfs_cor:CurrentLiabilities,流動負債,Current liabilities,Current liabilities
jppfs_cor:Liabilities,負債,Liabilities,Liabilities
jppfs_cor:NetAssetsAbstract,純資産の部 [タイトル項目],Net assets,Net assets [abstract]
jppfs_cor:ShareholdersEquityAbstract,株主資本 [タイトル項目],Shareholders' equity,Shareholders' equity [abstract]
jppfs_cor:CapitalStock,資本金,Capital stock,Capital stock
jppfs_cor:DepositForSubscriptionsToShares,新株式申込証拠金,Deposit for subscriptions to shares,Deposit for subscriptions to shares
jppfs_cor:CapitalSurplusAbstract,資本剰余金 [タイトル項目],Capital surplus,Capital surplus [abstract]
jppfs_cor:LegalCapitalSurplus,資本準備金,Legal capital surplus,Legal capital surplus
jppfs_cor:OtherCapitalSurplus,その他資本剰余金,Other capital surplus,Other capital surplus
jppfs_cor:CapitalSurplus,資本剰余金,Capital surplus,Capital surplus
jppfs_cor:RetainedEarningsAbstract,利益剰余金 [タイトル項目],Retained earnings,Retained earnings [abstract]
jppfs_cor:LegalRetainedEarnings,利益準備金,Legal retained earnings,Legal retained earnings
jppfs_cor:OtherRetainedEarningsAbstract,その他利益剰余金 [タイトル項目],Other retained earnings,Other retained earnings [abstract]
jppfs_cor:RetainedEarningsBroughtForward,繰越利益剰余金,Retained earnings brought forward,Retained earnings brought forward
jppfs_cor:RetainedEarnings,利益剰余金,Retained earnings,Retained earnings
jppfs_cor:TreasuryStock,自己株式,Treasury shares,Treasury shares
jppfs_cor:DepositForSubscriptionsToTreasuryStock,自己株式申込証拠金,Deposit for subscriptions to treasury shares,Deposit for subscriptions to treasury shares
jppfs_cor:ShareholdersEquity,株主資本,Shareholders' equity,Shareholders' equity
jppfs_cor:ValuationAndTranslationAdjustmentsAbstract,評価・換算差額等 [タイトル項目],Valuation and translation adjustments,Valuation and translation adjustments [abstract]
jppfs_cor:ValuationDifferenceOnAvailableForSaleSecurities,その他有価証券評価差額金,Valuation difference on available-for-sale securities,Valuation difference on available-for-sale securities
jppfs_cor:DeferredGainsOrLossesOnHedges,繰延ヘッジ損益,Deferred gains or losses on hedges,Deferred gains or losses on hedges
jppfs_cor:RevaluationReserveForLand,土地再評価差額金,Revaluation reserve for land,Revaluation reserve for land
jppfs_cor:ForeignCurrencyTranslationAdjustment,為替換算調整勘定,Foreign currency translation adjustment,Foreign currency translation adjustment
jppfs_cor:ValuationAndTranslationAdjustments,評価・換算差額等,Valuation and translation adjustments,Valuation and translation adjustments
jppfs_cor:SubscriptionRightsToShares,新株予約権,Share acquisition rights,Share acquisition rights
jppfs_cor:NonControllingInterests,非支配株主持分,Non-controlling interests,Non-controlling interests
jppfs_cor:NetAssets,純資産,Net assets,Net assets
jppfs_cor:LiabilitiesAndNetAssets,負債純資産,Liabilities and net assets,Liabilities and net assets
nan,,,
nan,,,
名前空間プレフィックス:要素名,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
jppfs_cor:StatementOfIncomeAbstract,損益計算書 [タイトル項目],Statement of income,Statement of income [abstract]
jppfs_cor:StatementOfIncomeTable,損益計算書 [表],Statement of income,Statement of income [table]
jppfs_cor:StatementOfIncomeLineItems,損益計算書 [表示項目],Statement of income,Statement of income [line items]
jppfs_cor:OperatingIncomeAndLossFromTelecommunicationsAbstract,電気通信事業営業損益 [タイトル項目],Operating revenue and expenses from telecommunications,Operating revenue and expenses from telecommunications [abstract]
jppfs_cor:OperatingRevenueOILTelecommunicationsAbstract,営業収益、電気通信事業営業損益 [タイトル項目],Operating revenue,Operating revenue-OIL-telecommunications [abstract]
jppfs_cor:VoiceCommunicationsOROILTelecommunications,音声伝送収入、営業収益、電気通信事業営業損益,Voice communications,Voice communications-OR-OIL-telecommunications
jppfs_cor:DigitalDataTransmissionServicesOROILTelecommunications,データ伝送収入、営業収益、電気通信事業営業損益,Digital data transmission services,Digital data transmission services-OR-OIL-telecommunications
