,タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
77,jppfs_cor:DepositsForSubscriptionCLSEC,募集等受入金、流動負債、第一種金融商品取引業,Deposits for subscription,Deposits for subscription-CL-SEC
78,jppfs_cor:DepositsForOthersCLSEC,その他の預り金、流動負債、第一種金融商品取引業,Deposits for others,Deposits for others-CL-SEC
79,jppfs_cor:GuaranteeDepositsReceivedCLSEC,受入保証金、流動負債、第一種金融商品取引業,Guarantee deposits received,Guarantee deposits received-CL-SEC
80,jppfs_cor:GuaranteedDepositsReceivedForWhenIssuedTransactionCLSEC,発行日取引受入保証金、流動負債、第一種金融商品取引業,Guaranteed deposits received for when issued transaction,Guaranteed deposits received for when issued transaction-CL-SEC
81,jppfs_cor:GuaranteeDepositsReceivedForMarginTransactionCLSEC,信用取引受入保証金、流動負債、第一種金融商品取引業,Guarantee deposits received for margin transaction,Guarantee deposits received for margin transaction-CL-SEC
82,jppfs_cor:InitialMarginsOfFuturesMarketsLiabilitiesCLSEC,先物取引受入証拠金、流動負債、第一種金融商品取引業,Initial margins of futures markets,Initial margins of futures markets-liabilities-CL-SEC
83,jppfs_cor:DepositReceivedForDueBillCLSEC,有価証券引渡票受入金、流動負債、第一種金融商品取引業,Deposit received for due bill,Deposit received for due bill-CL-SEC
84,jppfs_cor:GuaranteeDepositsReceivedForOthersCLSEC,その他の受入保証金、流動負債、第一種金融商品取引業,Guarantee deposits received for others,Guarantee deposits received for others-CL-SEC
85,jppfs_cor:AccountsForNonReceivedSecuritiesAndOthersCLSEC,有価証券等受入未了勘定、流動負債、第一種金融商品取引業,Accounts for non-received securities and others,Accounts for non-received securities and others-CL-SEC
86,jppfs_cor:VariationMarginReceivedCLSEC,受取差金勘定、流動負債、第一種金融商品取引業,Variation margin received,Variation margin received-CL-SEC
87,jppfs_cor:ShortTermLoansPayable,短期借入金,Short-term loans payable,Short-term loans payable
88,jppfs_cor:AdvancesReceived,前受金,Advances received,Advances received
89,jppfs_cor:UnearnedRevenue,前受収益,Unearned revenue,Unearned revenue
90,jppfs_cor:AccountsPayableOther,未払金,Accounts payable - other,Accounts payable-other
91,jppfs_cor:AccruedExpenses,未払費用,Accrued expenses,Accrued expenses
92,jppfs_cor:IncomeTaxesPayable,未払法人税等,Income taxes payable,Income taxes payable
93,jppfs_cor:DeferredTaxLiabilitiesCL,繰延税金負債、流動負債,Deferred tax liabilities,Deferred tax liabilities-CL
94,jppfs_cor:ProvisionForBonuses,賞与引当金,Provision for bonuses,Provision for bonuses
95,jppfs_cor:MarginDepositsReceivedForForeignExchangeSEC,外国為替受入証拠金、第一種金融商品取引業,Margin deposits received for foreign exchange,Margin deposits received for foreign exchange-SEC
96,jppfs_cor:OtherCL,その他、流動負債,Other,Other-CL
97,jppfs_cor:CurrentLiabilities,流動負債,Current liabilities,Current liabilities
98,jppfs_cor:NoncurrentLiabilitiesAbstract,固定負債 [タイトル項目],Non-current liabilities,Non-current liabilities [abstract]
99,jppfs_cor:LongTermLoansPayable,長期借入金,Long-term loans payable,Long-term loans payable
100,jppfs_cor:DeferredTaxLiabilitiesNCL,繰延税金負債、固定負債,Deferred tax liabilities,Deferred tax liabilities-NCL
101,jppfs_cor:ProvisionForRetirementBenefits,退職給付引当金,Provision for retirement benefits,Provision for retirement benefits
102,jppfs_cor:NegativeGoodwill,負ののれん,Negative goodwill,Negative goodwill
103,jppfs_cor:OtherNCL,その他、固定負債,Other,Other-NCL
104,jppfs_cor:NoncurrentLiabilities,固定負債,Non-current liabilities,Non-current liabilities
105,jppfs_cor:ReservesUnderTheSpecialLawsAbstract1,特別法上の準備金 [タイトル項目],Reserves under special laws,Reserves under special laws-1 [abstract]
106,jppfs_cor:ReserveForFinancialProductsTransactionLiabilitiesReservesUnderTheSpecialLawsSEC,金融商品取引責任準備金、特別法上の準備金、第一種金融商品取引業,Reserve for financial products transaction liabilities,Reserve for financial products transaction liabilities-reserves under special laws-SEC
107,jppfs_cor:ReservesUnderTheSpecialLaws1,特別法上の準備金,Reserves under special laws,Reserves under special laws-1
108,jppfs_cor:Liabilities,負債,Liabilities,Liabilities
109,jppfs_cor:NetAssetsAbstract,純資産の部 [タイトル項目],Net assets,Net assets [abstract]
110,jppfs_cor:ShareholdersEquityAbstract,株主資本 [タイトル項目],Shareholders' equity,Shareholders' equity [abstract]
111,jppfs_cor:CapitalStock,資本金,Capital stock,Capital stock
112,jppfs_cor:DepositForSubscriptionsToShares,新株式申込証拠金,Deposit for subscriptions to shares,Deposit for subscriptions to shares
113,jppfs_cor:CapitalSurplusAbstract,資本剰余金 [タイトル項目],Capital surplus,Capital surplus [abstract]
114,jppfs_cor:LegalCapitalSurplus,資本準備金,Legal capital surplus,Legal capital surplus
