,タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
60,jppfs_cor:AccumulatedDepreciationAndImpairmentLossPPEByGroup,減価償却累計額及び減損損失累計額、有形固定資産、一括控除,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-PPE-by group
61,jppfs_cor:IntangibleAssets,無形固定資産,Intangible assets,Intangible assets
62,jppfs_cor:PatentRight,特許権,Patent right,Patent right
63,jppfs_cor:LeaseholdRight,借地権,Leasehold right,Leasehold right
64,jppfs_cor:RightOfTrademark,商標権,Trademark right,Trademark right
65,jppfs_cor:InvestmentsAndOtherAssets,投資その他の資産,Investments and other assets,Investments and other assets
66,jppfs_cor:InvestmentSecurities,投資有価証券,Investment securities,Investment securities
67,jppfs_cor:InvestmentsInCapital,出資金,Investments in capital,Investments in capital
68,jppfs_cor:LongTermLoansReceivable,長期貸付金,Long-term loans receivable,Long-term loans receivable
69,jppfs_cor:AllowanceForDoubtfulAccountsLongTermLoansReceivable,貸倒引当金、長期貸付金,Allowance for doubtful accounts,Allowance for doubtful accounts-long-term loans receivable
70,jppfs_cor:LongTermLoansReceivableNet,長期貸付金（純額）,"Long-term loans receivable, net","Long-term loans receivable, net"
71,jppfs_cor:DeferredTaxAssetsIOA,繰延税金資産、投資その他の資産,Deferred tax assets,Deferred tax assets-IOA
72,jppfs_cor:AllowanceForDoubtfulAccountsIOAByGroup,貸倒引当金、投資その他の資産、一括控除,Allowance for doubtful accounts,Allowance for doubtful accounts-IOA-by group
73,jppfs_cor:DeferredAssets,繰延資産,Deferred assets,Deferred assets
74,jppfs_cor:SpecificBondIssuanceCostLIQ,特定社債発行費、資産流動化業,Specific bond issuance cost,Specific bond issuance cost-LIQ
75,jppfs_cor:OtherAssetsLIQ,その他の資産の部、資産流動化業,Other assets,Other assets-LIQ
76,jppfs_cor:Assets,資産,Assets,Assets
77,jppfs_cor:LiabilitiesAbstract,負債の部 [タイトル項目],Liabilities,Liabilities [abstract]
78,jppfs_cor:CurrentLiabilities,流動負債,Current liabilities,Current liabilities
79,jppfs_cor:SpecificNotesPayableLIQ,特定約束手形、資産流動化業,Specific notes payable,Specific notes payable-LIQ
80,jppfs_cor:OperatingAccountsPayableLIQ,事業未払金、資産流動化業,Operating accounts payable,Operating accounts payable-LIQ
81,jppfs_cor:SpecificShortTermBondsPayableLIQ,特定短期社債、資産流動化業,Specific short-term bonds payable,Specific short-term bonds payable-LIQ
82,jppfs_cor:CurrentPortionOfSpecificBondsPayableLIQ,1年以内償還予定特定社債、資産流動化業,Current portion of specific bonds payable,Current portion of specific bonds payable-LIQ
83,jppfs_cor:CurrentPortionOfSpecificBorrowingsLIQ,1年以内返済予定特定借入れ、資産流動化業,Current portion of specific borrowings,Current portion of specific borrowings-LIQ
84,jppfs_cor:ShortTermLoansPayable,短期借入金,Short-term loans payable,Short-term loans payable
85,jppfs_cor:SpecificLoansPayableCLLIQ,特定目的借入れ、流動負債、資産流動化業,Specific loans payable,Specific loans payable-CL-LIQ
86,jppfs_cor:AdvancesReceived,前受金,Advances received,Advances received
87,jppfs_cor:ProvisionCL,引当金、流動負債,Provision,Provision-CL
88,jppfs_cor:ProvisionForRepairs,修繕引当金,Provision for repairs,Provision for repairs
89,jppfs_cor:AccountsPayableOther,未払金,Accounts payable - other,Accounts payable-other
90,jppfs_cor:DepositsReceived,預り金,Deposits received,Deposits received
91,jppfs_cor:IncomeTaxesPayable,未払法人税等,Income taxes payable,Income taxes payable
92,jppfs_cor:AccruedExpenses,未払費用,Accrued expenses,Accrued expenses
93,jppfs_cor:UnearnedRevenue,前受収益,Unearned revenue,Unearned revenue
94,jppfs_cor:DeferredTaxLiabilitiesCL,繰延税金負債、流動負債,Deferred tax liabilities,Deferred tax liabilities-CL
95,jppfs_cor:AssetRetirementObligationsCL,資産除去債務、流動負債,Asset retirement obligations,Asset retirement obligations-CL
