,タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
42,jppfs_cor:MachineryAndEquipmentNetHighwayBusinessNCAHWY,機械及び装置（純額）、高速道路事業固定資産、高速道路事業,"Machinery and equipment, net","Machinery and equipment, net-highway business-NCA-HWY"
43,jppfs_cor:VehiclesHighwayBusinessNCAHWY,車両運搬具、高速道路事業固定資産、高速道路事業,Vehicles,Vehicles-highway business-NCA-HWY
44,jppfs_cor:AccumulatedDepreciationVehiclesHighwayBusinessNCAHWY,減価償却累計額、車両運搬具、高速道路事業固定資産、高速道路事業,Accumulated depreciation,Accumulated depreciation-vehicles-highway business-NCA-HWY
45,jppfs_cor:AccumulatedImpairmentLossVehiclesHighwayBusinessNCAHWY,減損損失累計額、車両運搬具、高速道路事業固定資産、高速道路事業,Accumulated impairment loss,Accumulated impairment loss-vehicles-highway business-NCA-HWY
46,jppfs_cor:AccumulatedDepreciationAndImpairmentLossVehiclesHighwayBusinessNCAHWY,減価償却累計額及び減損損失累計額、車両運搬具、高速道路事業固定資産、高速道路事業,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-vehicles-highway business-NCA-HWY
47,jppfs_cor:VehiclesNetHighwayBusinessNCAHWY,車両運搬具（純額）、高速道路事業固定資産、高速道路事業,"Vehicles, net","Vehicles, net-highway business-NCA-HWY"
48,jppfs_cor:ToolsFurnitureAndFixturesHighwayBusinessNCAHWY,工具、器具及び備品、高速道路事業固定資産、高速道路事業,"Tools, furniture and fixtures","Tools, furniture and fixtures-highway business-NCA-HWY"
49,jppfs_cor:AccumulatedDepreciationToolsFurnitureAndFixturesHighwayBusinessNCAHWY,減価償却累計額、工具、器具及び備品、高速道路事業固定資産、高速道路事業,Accumulated depreciation,"Accumulated depreciation-tools, furniture and fixtures-highway business-NCA-HWY"
50,jppfs_cor:AccumulatedImpairmentLossToolsFurnitureAndFixturesHighwayBusinessNCAHWY,減損損失累計額、工具、器具及び備品、高速道路事業固定資産、高速道路事業,Accumulated impairment loss,"Accumulated impairment loss-tools, furniture and fixtures-highway business-NCA-HWY"
51,jppfs_cor:AccumulatedDepreciationAndImpairmentLossToolsFurnitureAndFixturesHighwayBusinessNCAHWY,減価償却累計額及び減損損失累計額、工具、器具及び備品、高速道路事業固定資産、高速道路事業,Accumulated depreciation and impairment loss,"Accumulated depreciation and impairment loss-tools, furniture and fixtures-highway business-NCA-HWY"
52,jppfs_cor:ToolsFurnitureAndFixturesNetHighwayBusinessNCAHWY,工具、器具及び備品（純額）、高速道路事業固定資産、高速道路事業,"Tools, furniture and fixtures, net","Tools, furniture and fixtures, net-highway business-NCA-HWY"
53,jppfs_cor:LandHighwayBusinessNCAHWY,土地、高速道路事業固定資産、高速道路事業,Land,Land-highway business-NCA-HWY
54,jppfs_cor:ConstructionInProgressHighwayBusinessNCAHWY,建設仮勘定、高速道路事業固定資産、高速道路事業,Construction in progress,Construction in progress-highway business-NCA-HWY
55,jppfs_cor:AccumulatedDepreciationPPEByGroupHighwayBusinessNCAHWY,減価償却累計額、有形固定資産、一括控除、高速道路事業固定資産、高速道路事業,Accumulated depreciation,Accumulated depreciation-PPE-by group-highway business-NCA-HWY
56,jppfs_cor:AccumulatedImpairmentLossPPEByGroupHighwayBusinessNCAHWY,減損損失累計額、有形固定資産、一括控除、高速道路事業固定資産、高速道路事業,Accumulated impairment loss,Accumulated impairment loss-PPE-by group-highway business-NCA-HWY
57,jppfs_cor:AccumulatedDepreciationAndImpairmentLossPPEByGroupHighwayBusinessNCAHWY,減価償却累計額及び減損損失累計額、有形固定資産、一括控除、高速道路事業固定資産、高速道路事業,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-PPE-by group-highway business-NCA-HWY
58,jppfs_cor:PropertyPlantAndEquipmentHighwayBusinessNCAHWY,有形固定資産、高速道路事業固定資産、高速道路事業,"Property, plant and equipment","Property, plant and equipment-highway business-NCA-HWY"
59,jppfs_cor:IntangibleAssetsHighwayBusinessNCAAbstractHWY,無形固定資産、高速道路事業固定資産、高速道路事業 [タイトル項目],Intangible assets,Intangible assets-highway business-NCA-HWY [abstract]
60,jppfs_cor:IntangibleAssetsHighwayBusinessNCAHWY,無形固定資産、高速道路事業固定資産、高速道路事業,Intangible assets,Intangible assets-highway business-NCA-HWY
61,jppfs_cor:NoncurrentAssetsHighwayBusinessNCAHWY,高速道路事業固定資産、高速道路事業,Non-current assets,Non-current assets-highway business-NCA-HWY
62,jppfs_cor:NoncurrentAssetsRelatedAbstractHWY,関連事業固定資産、高速道路事業 [タイトル項目],Non-current assets - related,Non-current assets - related-HWY [abstract]
63,jppfs_cor:PropertyPlantAndEquipmentNCARelatedAbstractHWY,有形固定資産、関連事業固定資産、高速道路事業 [タイトル項目],"Property, plant and equipment","Property, plant and equipment-NCA-related-HWY [abstract]"
64,jppfs_cor:BuildingsNCARelatedHWY,建物、関連事業固定資産、高速道路事業,Buildings,Buildings-NCA-related-HWY
65,jppfs_cor:AccumulatedDepreciationBuildingNCARelatedHWY,減価償却累計額、建物、関連事業固定資産、高速道路事業,Accumulated depreciation,Accumulated depreciation-building-NCA-related-HWY
66,jppfs_cor:AccumulatedImpairmentLossBuildingsNCARelatedHWY,減損損失累計額、建物、関連事業固定資産、高速道路事業,Accumulated impairment loss,Accumulated impairment loss-buildings-NCA-related-HWY
67,jppfs_cor:AccumulatedDepreciationAndImpairmentLossBuildingsNCARelatedHWY,減価償却累計額及び減損損失累計額、建物、関連事業固定資産、高速道路事業,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-buildings-NCA-related-HWY
68,jppfs_cor:BuildingsNetNCARelatedHWY,建物（純額）、関連事業固定資産、高速道路事業,"Buildings, net","Buildings, net-NCA-related-HWY"
69,jppfs_cor:StructuresNCARelatedHWY,構築物、関連事業固定資産、高速道路事業,Structures,Structures-NCA-related-HWY
70,jppfs_cor:AccumulatedDepreciationStructuresNCARelatedHWY,減価償却累計額、構築物、関連事業固定資産、高速道路事業,Accumulated depreciation,Accumulated depreciation-structures-NCA-related-HWY
