,タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
71,jppfs_cor:AccumulatedImpairmentLossStructuresNCARelatedHWY,減損損失累計額、構築物、関連事業固定資産、高速道路事業,Accumulated impairment loss,Accumulated impairment loss-structures-NCA-related-HWY
72,jppfs_cor:AccumulatedDepreciationAndImpairmentLossStructuresNCARelatedHWY,減価償却累計額及び減損損失累計額、構築物、関連事業固定資産、高速道路事業,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-structures-NCA-related-HWY
73,jppfs_cor:StructuresNetNCARelatedHWY,構築物（純額）、関連事業固定資産、高速道路事業,"Structures, net","Structures, net-NCA-related-HWY"
74,jppfs_cor:MachineryAndEquipmentNCARelatedHWY,機械及び装置、関連事業固定資産、高速道路事業,Machinery and equipment,Machinery and equipment-NCA-related-HWY
75,jppfs_cor:AccumulatedDepreciationMachineryAndEquipmentNCARelatedHWY,減価償却累計額、機械及び装置、関連事業固定資産、高速道路事業,Accumulated depreciation,Accumulated depreciation-machinery and equipment-NCA-related-HWY
76,jppfs_cor:AccumulatedImpairmentLossMachineryAndEquipmentNCARelatedHWY,減損損失累計額、機械及び装置、関連事業固定資産、高速道路事業,Accumulated impairment loss,Accumulated impairment loss-machinery and equipment-NCA-related-HWY
77,jppfs_cor:AccumulatedDepreciationAndImpairmentLossMachineryAndEquipmentNCARelatedHWY,減価償却累計額及び減損損失累計額、機械及び装置、関連事業固定資産、高速道路事業,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-machinery and equipment-NCA-related-HWY
78,jppfs_cor:MachineryAndEquipmentNetNCARelatedHWY,機械及び装置（純額）、関連事業固定資産、高速道路事業,"Machinery and equipment, net","Machinery and equipment, net-NCA-related-HWY"
79,jppfs_cor:VehiclesNCARelatedHWY,車両運搬具、関連事業固定資産、高速道路事業,Vehicles,Vehicles-NCA-related-HWY
80,jppfs_cor:AccumulatedDepreciationVehiclesNCARelatedHWY,減価償却累計額、車両運搬具、関連事業固定資産、高速道路事業,Accumulated depreciation,Accumulated depreciation-vehicles-NCA-related-HWY
81,jppfs_cor:AccumulatedImpairmentLossVehiclesNCARelatedHWY,減損損失累計額、車両運搬具、関連事業固定資産、高速道路事業,Accumulated impairment loss,Accumulated impairment loss-vehicles-NCA-related-HWY
82,jppfs_cor:AccumulatedDepreciationAndImpairmentLossVehiclesNCARelatedHWY,減価償却累計額及び減損損失累計額、車両運搬具、関連事業固定資産、高速道路事業,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-vehicles-NCA-related-HWY
83,jppfs_cor:VehiclesNetNCARelatedHWY,車両運搬具（純額）、関連事業固定資産、高速道路事業,"Vehicles, net","Vehicles, net-NCA-related-HWY"
84,jppfs_cor:ToolsFurnitureAndFixturesNCARelatedHWY,工具、器具及び備品、関連事業固定資産、高速道路事業,"Tools, furniture and fixtures","Tools, furniture and fixtures-NCA-related-HWY"
85,jppfs_cor:AccumulatedDepreciationToolsFurnitureAndFixturesNCARelatedHWY,減価償却累計額、工具、器具及び備品、関連事業固定資産、高速道路事業,Accumulated depreciation,"Accumulated depreciation-tools, furniture and fixtures-NCA-related-HWY"
86,jppfs_cor:AccumulatedImpairmentLossToolsFurnitureAndFixturesNCARelatedHWY,減損損失累計額、工具、器具及び備品、関連事業固定資産、高速道路事業,Accumulated impairment loss,"Accumulated impairment loss-tools, furniture and fixtures-NCA-related-HWY"
87,jppfs_cor:AccumulatedDepreciationAndImpairmentLossToolsFurnitureAndFixturesNCARelatedHWY,減価償却累計額及び減損損失累計額、工具、器具及び備品、関連事業固定資産、高速道路事業,Accumulated depreciation and impairment loss,"Accumulated depreciation and impairment loss-tools, furniture and fixtures-NCA-related-HWY"
88,jppfs_cor:ToolsFurnitureAndFixturesNetNCARelatedHWY,工具、器具及び備品（純額）、関連事業固定資産、高速道路事業,"Tools, furniture and fixtures, net","Tools, furniture and fixtures, net-NCA-related-HWY"
89,jppfs_cor:LandNCARelatedHWY,土地、関連事業固定資産、高速道路事業,Land,Land-NCA-related-HWY
90,jppfs_cor:ConstructionInProgressNCARelatedHWY,建設仮勘定、関連事業固定資産、高速道路事業,Construction in progress,Construction in progress-NCA-related-HWY
91,jppfs_cor:AccumulatedDepreciationPPEByGroupNCARelatedHWY,減価償却累計額、有形固定資産、一括控除、関連事業固定資産、高速道路事業,Accumulated depreciation,Accumulated depreciation-PPE-by group-NCA-related-HWY
92,jppfs_cor:AccumulatedImpairmentLossPPEByGroupNCARelatedHWY,減損損失累計額、有形固定資産、一括控除、関連事業固定資産、高速道路事業,Accumulated impairment loss,Accumulated impairment loss-PPE-by group-NCA-related-HWY
93,jppfs_cor:AccumulatedDepreciationAndImpairmentLossPPEByGroupNCARelatedHWY,減価償却累計額及び減損損失累計額、有形固定資産、一括控除、関連事業固定資産、高速道路事業,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-PPE-by group-NCA-related-HWY
94,jppfs_cor:PropertyPlantAndEquipmentNCARelatedHWY,有形固定資産、関連事業固定資産、高速道路事業,"Property, plant and equipment","Property, plant and equipment-NCA-related-HWY"
95,jppfs_cor:IntangibleAssetsNCARelatedAbstractHWY,無形固定資産、関連事業固定資産、高速道路事業 [タイトル項目],Intangible assets,Intangible assets-NCA-related-HWY [abstract]
96,jppfs_cor:IntangibleAssetsNCARelatedHWY,無形固定資産、関連事業固定資産、高速道路事業,Intangible assets,Intangible assets-NCA-related-HWY
97,jppfs_cor:NoncurrentAssetsRelatedHWY,関連事業固定資産、高速道路事業,Non-current assets - related,Non-current assets - related-HWY
98,jppfs_cor:NoncurrentAssetsAffiliatedAbstractHWY,各事業共用固定資産、高速道路事業 [タイトル項目],Non-current assets - affiliated,Non-current assets - affiliated-HWY [abstract]
99,jppfs_cor:PropertyPlantAndEquipmentNCAAffiliatedAbstractHWY,有形固定資産、各事業共用固定資産、高速道路事業 [タイトル項目],"Property, plant and equipment","Property, plant and equipment-NCA-affiliated-HWY [abstract]"
100,jppfs_cor:BuildingsNCAAffiliatedHWY,建物、各事業共用固定資産、高速道路事業,Buildings,Buildings-NCA-affiliated-HWY
101,jppfs_cor:AccumulatedDepreciationBuildingNCAAffiliatedHWY,減価償却累計額、建物、各事業共用固定資産、高速道路事業,Accumulated depreciation,Accumulated depreciation-building-NCA-affiliated-HWY
102,jppfs_cor:AccumulatedImpairmentLossBuildingsNCAAffiliatedHWY,減損損失累計額、建物、各事業共用固定資産、高速道路事業,Accumulated impairment loss,Accumulated impairment loss-buildings-NCA-affiliated-HWY
103,jppfs_cor:AccumulatedDepreciationAndImpairmentLossBuildingsNCAAffiliatedHWY,減価償却累計額及び減損損失累計額、建物、各事業共用固定資産、高速道路事業,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-buildings-NCA-affiliated-HWY
104,jppfs_cor:BuildingsNetNCAAffiliatedHWY,建物（純額）、各事業共用固定資産、高速道路事業,"Buildings, net","Buildings, net-NCA-affiliated-HWY"
105,jppfs_cor:StructuresNCAAffiliatedHWY,構築物、各事業共用固定資産、高速道路事業,Structures,Structures-NCA-affiliated-HWY
106,jppfs_cor:AccumulatedDepreciationStructuresNCAAffiliatedHWY,減価償却累計額、構築物、各事業共用固定資産、高速道路事業,Accumulated depreciation,Accumulated depreciation-structures-NCA-affiliated-HWY
107,jppfs_cor:AccumulatedImpairmentLossStructuresNCAAffiliatedHWY,減損損失累計額、構築物、各事業共用固定資産、高速道路事業,Accumulated impairment loss,Accumulated impairment loss-structures-NCA-affiliated-HWY
108,jppfs_cor:AccumulatedDepreciationAndImpairmentLossStructuresNCAAffiliatedHWY,減価償却累計額及び減損損失累計額、構築物、各事業共用固定資産、高速道路事業,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-structures-NCA-affiliated-HWY
109,jppfs_cor:StructuresNetNCAAffiliatedHWY,構築物（純額）、各事業共用固定資産、高速道路事業,"Structures, net","Structures, net-NCA-affiliated-HWY"
110,jppfs_cor:MachineryAndEquipmentNCAAffiliatedHWY,機械及び装置、各事業共用固定資産、高速道路事業,Machinery and equipment,Machinery and equipment-NCA-affiliated-HWY
111,jppfs_cor:AccumulatedDepreciationMachineryAndEquipmentNCAAffiliatedHWY,減価償却累計額、機械及び装置、各事業共用固定資産、高速道路事業,Accumulated depreciation,Accumulated depreciation-machinery and equipment-NCA-affiliated-HWY
112,jppfs_cor:AccumulatedImpairmentLossMachineryAndEquipmentNCAAffiliatedHWY,減損損失累計額、機械及び装置、各事業共用固定資産、高速道路事業,Accumulated impairment loss,Accumulated impairment loss-machinery and equipment-NCA-affiliated-HWY
113,jppfs_cor:AccumulatedDepreciationAndImpairmentLossMachineryAndEquipmentNCAAffiliatedHWY,減価償却累計額及び減損損失累計額、機械及び装置、各事業共用固定資産、高速道路事業,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-machinery and equipment-NCA-affiliated-HWY
114,jppfs_cor:MachineryAndEquipmentNetNCAAffiliatedHWY,機械及び装置（純額）、各事業共用固定資産、高速道路事業,"Machinery and equipment, net","Machinery and equipment, net-NCA-affiliated-HWY"
115,jppfs_cor:VehiclesNCAAffiliatedHWY,車両運搬具、各事業共用固定資産、高速道路事業,Vehicles,Vehicles-NCA-affiliated-HWY
116,jppfs_cor:AccumulatedDepreciationVehiclesNCAAffiliatedHWY,減価償却累計額、車両運搬具、各事業共用固定資産、高速道路事業,Accumulated depreciation,Accumulated depreciation-vehicles-NCA-affiliated-HWY
117,jppfs_cor:AccumulatedImpairmentLossVehiclesNCAAffiliatedHWY,減損損失累計額、車両運搬具、各事業共用固定資産、高速道路事業,Accumulated impairment loss,Accumulated impairment loss-vehicles-NCA-affiliated-HWY
118,jppfs_cor:AccumulatedDepreciationAndImpairmentLossVehiclesNCAAffiliatedHWY,減価償却累計額及び減損損失累計額、車両運搬具、各事業共用固定資産、高速道路事業,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-vehicles-NCA-affiliated-HWY
119,jppfs_cor:VehiclesNetNCAAffiliatedHWY,車両運搬具（純額）、各事業共用固定資産、高速道路事業,"Vehicles, net","Vehicles, net-NCA-affiliated-HWY"
120,jppfs_cor:ToolsFurnitureAndFixturesNCAAffiliatedHWY,工具、器具及び備品、各事業共用固定資産、高速道路事業,"Tools, furniture and fixtures","Tools, furniture and fixtures-NCA-affiliated-HWY"
121,jppfs_cor:AccumulatedDepreciationToolsFurnitureAndFixturesNCAAffiliatedHWY,減価償却累計額、工具、器具及び備品、各事業共用固定資産、高速道路事業,Accumulated depreciation,"Accumulated depreciation-tools, furniture and fixtures-NCA-affiliated-HWY"
122,jppfs_cor:AccumulatedImpairmentLossToolsFurnitureAndFixturesNCAAffiliatedHWY,減損損失累計額、工具、器具及び備品、各事業共用固定資産、高速道路事業,Accumulated impairment loss,"Accumulated impairment loss-tools, furniture and fixtures-NCA-affiliated-HWY"
123,jppfs_cor:AccumulatedDepreciationAndImpairmentLossToolsFurnitureAndFixturesNCAAffiliatedHWY,減価償却累計額及び減損損失累計額、工具、器具及び備品、各事業共用固定資産、高速道路事業,Accumulated depreciation and impairment loss,"Accumulated depreciation and impairment loss-tools, furniture and fixtures-NCA-affiliated-HWY"
124,jppfs_cor:ToolsFurnitureAndFixturesNetNCAAffiliatedHWY,工具、器具及び備品（純額）、各事業共用固定資産、高速道路事業,"Tools, furniture and fixtures, net","Tools, furniture and fixtures, net-NCA-affiliated-HWY"
125,jppfs_cor:LandNCAAffiliatedHWY,土地、各事業共用固定資産、高速道路事業,Land,Land-NCA-affiliated-HWY
126,jppfs_cor:ConstructionInProgressNCAAffiliatedHWY,建設仮勘定、各事業共用固定資産、高速道路事業,Construction in progress,Construction in progress-NCA-affiliated-HWY
127,jppfs_cor:AccumulatedDepreciationPPEByGroupNCAAffiliatedHWY,減価償却累計額、有形固定資産、一括控除、各事業共用固定資産、高速道路事業,Accumulated depreciation,Accumulated depreciation-PPE-by group-NCA-affiliated-HWY
128,jppfs_cor:AccumulatedImpairmentLossPPEByGroupNCAAffiliatedHWY,減損損失累計額、有形固定資産、一括控除、各事業共用固定資産、高速道路事業,Accumulated impairment loss,Accumulated impairment loss-PPE-by group-NCA-affiliated-HWY
129,jppfs_cor:AccumulatedDepreciationAndImpairmentLossPPEByGroupNCAAffiliatedHWY,減価償却累計額及び減損損失累計額、有形固定資産、一括控除、各事業共用固定資産、高速道路事業,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-PPE-by group-NCA-affiliated-HWY
130,jppfs_cor:PropertyPlantAndEquipmentNCAAffiliatedHWY,有形固定資産、各事業共用固定資産、高速道路事業,"Property, plant and equipment","Property, plant and equipment-NCA-affiliated-HWY"
131,jppfs_cor:IntangibleAssetsNCAAffiliatedAbstractHWY,無形固定資産、各事業共用固定資産、高速道路事業 [タイトル項目],Intangible assets,Intangible assets-NCA-affiliated-HWY [abstract]
132,jppfs_cor:IntangibleAssetsNCAAffiliatedHWY,無形固定資産、各事業共用固定資産、高速道路事業,Intangible assets,Intangible assets-NCA-affiliated-HWY
133,jppfs_cor:NoncurrentAssetsAffiliatedHWY,各事業共用固定資産、高速道路事業,Non-current assets - affiliated,Non-current assets - affiliated-HWY
134,jppfs_cor:OtherNoncurrentAssetsAbstractHWY,その他の固定資産、高速道路事業 [タイトル項目],Other non-current assets,Other non-current assets-HWY [abstract]
135,jppfs_cor:PropertyPlantAndEquipmentOtherNoncurrentAssetsAbstractHWY,有形固定資産、その他の固定資産、高速道路事業 [タイトル項目],"Property, plant and equipment","Property, plant and equipment-other noncurrent assets-HWY [abstract]"
136,jppfs_cor:PropertyPlantAndEquipmentOtherNoncurrentAssetsHWY,有形固定資産、その他の固定資産、高速道路事業,"Property, plant and equipment","Property, plant and equipment-other noncurrent assets-HWY"
137,jppfs_cor:OtherNoncurrentAssetsHWY,その他の固定資産、高速道路事業,Other non-current assets,Other non-current assets-HWY
138,jppfs_cor:InvestmentsAndOtherAssetsAbstract,投資その他の資産 [タイトル項目],Investments and other assets,Investments and other assets [abstract]
139,jppfs_cor:StocksOfSubsidiariesAndAffiliates,関係会社株式,Shares of subsidiaries and associates,Shares of subsidiaries and associates
140,jppfs_cor:InvestmentSecurities,投資有価証券,Investment securities,Investment securities
141,jppfs_cor:InvestmentsInCapitalOfSubsidiariesAndAffiliates,関係会社出資金,Investments in capital of subsidiaries and associates,Investments in capital of subsidiaries and associates
142,jppfs_cor:InvestmentsInCapital,出資金,Investments in capital,Investments in capital
143,jppfs_cor:LongTermLoansReceivable,長期貸付金,Long-term loans receivable,Long-term loans receivable
144,jppfs_cor:LongTermPrepaidExpenses,長期前払費用,Long-term prepaid expenses,Long-term prepaid expenses
145,jppfs_cor:DeferredTaxAssetsIOA,繰延税金資産、投資その他の資産,Deferred tax assets,Deferred tax assets-IOA
146,jppfs_cor:OtherIOA,その他、投資その他の資産,Other,Other-IOA
147,jppfs_cor:AllowanceForDoubtfulAccountsIOAByGroup,貸倒引当金、投資その他の資産、一括控除,Allowance for doubtful accounts,Allowance for doubtful accounts-IOA-by group
148,jppfs_cor:InvestmentsAndOtherAssets,投資その他の資産,Investments and other assets,Investments and other assets
149,jppfs_cor:NoncurrentAssets,固定資産,Non-current assets,Non-current assets
150,jppfs_cor:DeferredAssetsAbstract,繰延資産 [タイトル項目],Deferred assets,Deferred assets [abstract]
151,jppfs_cor:DeferredOrganizationExpensesDA,創立費、繰延資産,Deferred organization expenses,Deferred organization expenses-DA
