タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
jpigp_cor:NotesInventoriesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－棚卸資産、要約中間連結財務諸表（IFRS） [目次項目],Notes - Inventories,"Notes - Inventories, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesInventoriesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－棚卸資産、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Inventories,"Notes - Inventories, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesAssetsHeldForSaleCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－売却目的で保有する資産、要約中間連結財務諸表（IFRS） [目次項目],Notes - Assets held for sale,"Notes - Assets held for sale, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesAssetsHeldForSaleCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－売却目的で保有する資産、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Assets held for sale,"Notes - Assets held for sale, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesPropertyPlantAndEquipmentCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－有形固定資産、要約中間連結財務諸表（IFRS） [目次項目],"Notes - Property, plant and equipment","Notes - Property, plant and equipment, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesPropertyPlantAndEquipmentCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－有形固定資産、要約中間連結財務諸表（IFRS） [テキストブロック],"Notes - Property, plant and equipment","Notes - Property, plant and equipment, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesGoodwillAndIntangibleAssetsCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－のれん及び無形資産、要約中間連結財務諸表（IFRS） [目次項目],Notes - Goodwill and intangible assets,"Notes - Goodwill and intangible assets, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesGoodwillAndIntangibleAssetsCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－のれん及び無形資産、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Goodwill and intangible assets,"Notes - Goodwill and intangible assets, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesGoodwillCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－のれん、要約中間連結財務諸表（IFRS） [目次項目],Notes - Goodwill,"Notes - Goodwill, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesGoodwillCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－のれん、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Goodwill,"Notes - Goodwill, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesIntangibleAssetsCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－無形資産、要約中間連結財務諸表（IFRS） [目次項目],Notes - Intangible assets,"Notes - Intangible assets, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesIntangibleAssetsCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－無形資産、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Intangible assets,"Notes - Intangible assets, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesImpairmentLossesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－減損損失、要約中間連結財務諸表（IFRS） [目次項目],Notes - Impairment losses,"Notes - Impairment losses, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesImpairmentLossesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－減損損失、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Impairment losses,"Notes - Impairment losses, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesInvestmentPropertyCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－投資不動産、要約中間連結財務諸表（IFRS） [目次項目],Notes - Investment property,"Notes - Investment property, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesInvestmentPropertyCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－投資不動産、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Investment property,"Notes - Investment property, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesInvestmentsAccountedForUsingEquityMethodCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－持分法で会計処理されている投資、要約中間連結財務諸表（IFRS） [目次項目],Notes - Investments accounted for using equity method,"Notes - Investments accounted for using equity method, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesInvestmentsAccountedForUsingEquityMethodCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－持分法で会計処理されている投資、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Investments accounted for using equity method,"Notes - Investments accounted for using equity method, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesBiologicalAssetsCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－生物資産、要約中間連結財務諸表（IFRS） [目次項目],Notes - Biological assets,"Notes - Biological assets, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesBiologicalAssetsCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－生物資産、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Biological assets,"Notes - Biological assets, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesExplorationForAndEvaluationOfMineralResourcesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－鉱物資源の探査及び評価、要約中間連結財務諸表（IFRS） [目次項目],Notes - Exploration for and evaluation of mineral resources,"Notes - Exploration for and evaluation of mineral resources, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesExplorationForAndEvaluationOfMineralResourcesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－鉱物資源の探査及び評価、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Exploration for and evaluation of mineral resources,"Notes - Exploration for and evaluation of mineral resources, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherInvestmentsCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－その他の投資、要約中間連結財務諸表（IFRS） [目次項目],Notes - Other investments,"Notes - Other investments, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherInvestmentsCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－その他の投資、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Other investments,"Notes - Other investments, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherFinancialAssetsAndOtherFinancialLiabilitiesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－その他の金融資産及びその他の金融負債、要約中間連結財務諸表（IFRS） [目次項目],Notes - Other financial assets and other financial liabilities,"Notes - Other financial assets and other financial liabilities, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherFinancialAssetsAndOtherFinancialLiabilitiesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－その他の金融資産及びその他の金融負債、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Other financial assets and other financial liabilities,"Notes - Other financial assets and other financial liabilities, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherFinancialAssetsCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－その他の金融資産、要約中間連結財務諸表（IFRS） [目次項目],Notes - Other financial assets,"Notes - Other financial assets, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherFinancialAssetsCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－その他の金融資産、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Other financial assets,"Notes - Other financial assets, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherCurrentAssetsAndOtherNonCurrentAssetsCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－その他の流動資産及びその他の非流動資産、要約中間連結財務諸表（IFRS） [目次項目],Notes - Other current assets and other non-current assets,"Notes - Other current assets and other non-current assets, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherCurrentAssetsAndOtherNonCurrentAssetsCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－その他の流動資産及びその他の非流動資産、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Other current assets and other non-current assets,"Notes - Other current assets and other non-current assets, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherCurrentAssetsCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－その他の流動資産、要約中間連結財務諸表（IFRS） [目次項目],Notes - Other current assets,"Notes - Other current assets, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherCurrentAssetsCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－その他の流動資産、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Other current assets,"Notes - Other current assets, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherNonCurrentAssetsCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－その他の非流動資産、要約中間連結財務諸表（IFRS） [目次項目],Notes - Other non-current assets,"Notes - Other non-current assets, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherNonCurrentAssetsCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－その他の非流動資産、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Other non-current assets,"Notes - Other non-current assets, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherAssetsAndOtherLiabilitiesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－その他の資産及びその他の負債、要約中間連結財務諸表（IFRS） [目次項目],Notes - Other assets and other liabilities,"Notes - Other assets and other liabilities, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherAssetsAndOtherLiabilitiesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－その他の資産及びその他の負債、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Other assets and other liabilities,"Notes - Other assets and other liabilities, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherAssetsCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－その他の資産、要約中間連結財務諸表（IFRS） [目次項目],Notes - Other assets,"Notes - Other assets, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherAssetsCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－その他の資産、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Other assets,"Notes - Other assets, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesDeferredTaxesAndIncomeTaxesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－繰延税金及び法人所得税、要約中間連結財務諸表（IFRS） [目次項目],Notes - Deferred taxes and income taxes,"Notes - Deferred taxes and income taxes, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesDeferredTaxesAndIncomeTaxesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－繰延税金及び法人所得税、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Deferred taxes and income taxes,"Notes - Deferred taxes and income taxes, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesDeferredTaxesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－繰延税金、要約中間連結財務諸表（IFRS） [目次項目],Notes - Deferred taxes,"Notes - Deferred taxes, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesDeferredTaxesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－繰延税金、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Deferred taxes,"Notes - Deferred taxes, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesIncomeTaxesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－法人所得税、要約中間連結財務諸表（IFRS） [目次項目],Notes - Income taxes,"Notes - Income taxes, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesIncomeTaxesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－法人所得税、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Income taxes,"Notes - Income taxes, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesTradeAndOtherPayablesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－営業債務及びその他の債務、要約中間連結財務諸表（IFRS） [目次項目],Notes - Trade and other payables,"Notes - Trade and other payables, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesTradeAndOtherPayablesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－営業債務及びその他の債務、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Trade and other payables,"Notes - Trade and other payables, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesTradeAndOtherPayables2CondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－仕入債務及びその他の債務、要約中間連結財務諸表（IFRS） [目次項目],Notes - Trade and other payables,"Notes - Trade and other payables 2, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesTradeAndOtherPayables2CondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－仕入債務及びその他の債務、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Trade and other payables,"Notes - Trade and other payables 2, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesTradeAndOtherPayables3CondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－買掛金及びその他の債務、要約中間連結財務諸表（IFRS） [目次項目],Notes - Trade and other payables,"Notes - Trade and other payables 3, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesTradeAndOtherPayables3CondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－買掛金及びその他の債務、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Trade and other payables,"Notes - Trade and other payables 3, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesTradePayablesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－営業債務、要約中間連結財務諸表（IFRS） [目次項目],Notes - Trade payables,"Notes - Trade payables, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesTradePayablesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－営業債務、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Trade payables,"Notes - Trade payables, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesTradePayables2CondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－仕入債務、要約中間連結財務諸表（IFRS） [目次項目],Notes - Trade payables,"Notes - Trade payables 2, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesTradePayables2CondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－仕入債務、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Trade payables,"Notes - Trade payables 2, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesTradePayables3CondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－買入債務、要約中間連結財務諸表（IFRS） [目次項目],Notes - Trade payables,"Notes - Trade payables 3, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesTradePayables3CondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－買入債務、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Trade payables,"Notes - Trade payables 3, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesBondsAndBorrowingsCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－社債及び借入金、要約中間連結財務諸表（IFRS） [目次項目],Notes - Bonds and borrowings,"Notes - Bonds and borrowings, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesBondsAndBorrowingsCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－社債及び借入金、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Bonds and borrowings,"Notes - Bonds and borrowings, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesBondsPayableCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－社債、要約中間連結財務諸表（IFRS） [目次項目],Notes - Bonds payable,"Notes - Bonds payable, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesBondsPayableCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－社債、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Bonds payable,"Notes - Bonds payable, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesBorrowingsCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－借入金、要約中間連結財務諸表（IFRS） [目次項目],Notes - Borrowings,"Notes - Borrowings, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesBorrowingsCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－借入金、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Borrowings,"Notes - Borrowings, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesInterestBearingLiabilitiesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－有利子負債、要約中間連結財務諸表（IFRS） [目次項目],Notes - Interest-bearing liabilities,"Notes - Interest-bearing liabilities, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesInterestBearingLiabilitiesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－有利子負債、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Interest-bearing liabilities,"Notes - Interest-bearing liabilities, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherFinancialLiabilitiesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－その他の金融負債、要約中間連結財務諸表（IFRS） [目次項目],Notes - Other financial liabilities,"Notes - Other financial liabilities, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherFinancialLiabilitiesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－その他の金融負債、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Other financial liabilities,"Notes - Other financial liabilities, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesDeferredIncomeCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－繰延収益、要約中間連結財務諸表（IFRS） [目次項目],Notes - Deferred income,"Notes - Deferred income, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesDeferredIncomeCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－繰延収益、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Deferred income,"Notes - Deferred income, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesGovernmentGrantsCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－政府補助金、要約中間連結財務諸表（IFRS） [目次項目],Notes - Government grants,"Notes - Government grants, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesGovernmentGrantsCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－政府補助金、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Government grants,"Notes - Government grants, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesProvisionsCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－引当金、要約中間連結財務諸表（IFRS） [目次項目],Notes - Provisions,"Notes - Provisions, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesProvisionsCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－引当金、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Provisions,"Notes - Provisions, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherCurrentLiabilitiesAndOtherNonCurrentLiabilitiesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－その他の流動負債及びその他の非流動負債、要約中間連結財務諸表（IFRS） [目次項目],Notes - Other current liabilities and other non-current liabilities,"Notes - Other current liabilities and other non-current liabilities, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherCurrentLiabilitiesAndOtherNonCurrentLiabilitiesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－その他の流動負債及びその他の非流動負債、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Other current liabilities and other non-current liabilities,"Notes - Other current liabilities and other non-current liabilities, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherCurrentLiabilitiesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－その他の流動負債、要約中間連結財務諸表（IFRS） [目次項目],Notes - Other current liabilities,"Notes - Other current liabilities, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherCurrentLiabilitiesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－その他の流動負債、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Other current liabilities,"Notes - Other current liabilities, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherNonCurrentLiabilitiesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－その他の非流動負債、要約中間連結財務諸表（IFRS） [目次項目],Notes - Other non-current liabilities,"Notes - Other non-current liabilities, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherNonCurrentLiabilitiesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－その他の非流動負債、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Other non-current liabilities,"Notes - Other non-current liabilities, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherLabilitiesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－その他の負債、要約中間連結財務諸表（IFRS） [目次項目],Notes - Other labilities,"Notes - Other labilities, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherLabilitiesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－その他の負債、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Other labilities,"Notes - Other labilities, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesShareCapitalAndOtherEquityItemsCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－資本金及びその他の資本項目、要約中間連結財務諸表（IFRS） [目次項目],Notes - Share capital and other equity items,"Notes - Share capital and other equity items, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesShareCapitalAndOtherEquityItemsCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－資本金及びその他の資本項目、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Share capital and other equity items,"Notes - Share capital and other equity items, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesEquityCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－資本、要約中間連結財務諸表（IFRS） [目次項目],Notes - Equity,"Notes - Equity, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesEquityCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－資本、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Equity,"Notes - Equity, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherComponentsOfEquityAndOtherComprehensiveIncomeCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－その他の資本の構成要素及びその他の包括利益、要約中間連結財務諸表（IFRS） [目次項目],Notes - Other components of equity and other comprehensive income,"Notes - Other components of equity and other comprehensive income, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherComponentsOfEquityAndOtherComprehensiveIncomeCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－その他の資本の構成要素及びその他の包括利益、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Other components of equity and other comprehensive income,"Notes - Other components of equity and other comprehensive income, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherComponentsOfEquityCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－その他の資本の構成要素、要約中間連結財務諸表（IFRS） [目次項目],Notes - Other components of equity,"Notes - Other components of equity, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherComponentsOfEquityCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－その他の資本の構成要素、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Other components of equity,"Notes - Other components of equity, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesAccumulatedOtherComprehensiveIncomeAndOtherComprehensiveIncomeCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－その他の包括利益累計額及びその他の包括利益、要約中間連結財務諸表（IFRS） [目次項目],Notes - Accumulated other comprehensive income and other comprehensive income,"Notes - Accumulated other comprehensive income and other comprehensive income, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesAccumulatedOtherComprehensiveIncomeAndOtherComprehensiveIncomeCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－その他の包括利益累計額及びその他の包括利益、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Accumulated other comprehensive income and other comprehensive income,"Notes - Accumulated other comprehensive income and other comprehensive income, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesDividendsCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－配当金、要約中間連結財務諸表（IFRS） [目次項目],Notes - Dividends,"Notes - Dividends, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesDividendsCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－配当金、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Dividends,"Notes - Dividends, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
