タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
jpigp_cor:NotesBasisOfPreparationCondensedQuarterlyFinancialStatementsIFRSHeading,注記事項－作成の基礎、要約四半期財務諸表（IFRS） [目次項目],Notes - Basis of preparation,"Notes - Basis of preparation, Condensed quarterly financial statements (IFRS) [heading]"
jpigp_cor:NotesBasisOfPreparationCondensedQuarterlyFinancialStatementsIFRSTextBlock,注記事項－作成の基礎、要約四半期財務諸表（IFRS） [テキストブロック],Notes - Basis of preparation,"Notes - Basis of preparation, Condensed quarterly financial statements (IFRS) [text block]"
jpigp_cor:NotesSignificantAccountingPoliciesCondensedQuarterlyFinancialStatementsIFRSHeading,注記事項－重要な会計方針、要約四半期財務諸表（IFRS） [目次項目],Notes - Significant accounting policies,"Notes - Significant accounting policies, Condensed quarterly financial statements (IFRS) [heading]"
jpigp_cor:NotesSignificantAccountingPoliciesCondensedQuarterlyFinancialStatementsIFRSTextBlock,注記事項－重要な会計方針、要約四半期財務諸表（IFRS） [テキストブロック],Notes - Significant accounting policies,"Notes - Significant accounting policies, Condensed quarterly financial statements (IFRS) [text block]"
jpigp_cor:NotesChangesInAccountingPoliciesCondensedQuarterlyFinancialStatementsIFRSHeading,注記事項－会計方針の変更、要約四半期財務諸表（IFRS） [目次項目],Notes - Changes in accounting policies,"Notes - Changes in accounting policies, Condensed quarterly financial statements (IFRS) [heading]"
jpigp_cor:NotesChangesInAccountingPoliciesCondensedQuarterlyFinancialStatementsIFRSTextBlock,注記事項－会計方針の変更、要約四半期財務諸表（IFRS） [テキストブロック],Notes - Changes in accounting policies,"Notes - Changes in accounting policies, Condensed quarterly financial statements (IFRS) [text block]"
jpigp_cor:NotesSignificantAccountingEstimatesAndJudgementsCondensedQuarterlyFinancialStatementsIFRSHeading,注記事項－重要な会計上の見積り及び判断、要約四半期財務諸表（IFRS） [目次項目],Notes - Significant accounting estimates and judgements,"Notes - Significant accounting estimates and judgements, Condensed quarterly financial statements (IFRS) [heading]"
jpigp_cor:NotesSignificantAccountingEstimatesAndJudgementsCondensedQuarterlyFinancialStatementsIFRSTextBlock,注記事項－重要な会計上の見積り及び判断、要約四半期財務諸表（IFRS） [テキストブロック],Notes - Significant accounting estimates and judgements,"Notes - Significant accounting estimates and judgements, Condensed quarterly financial statements (IFRS) [text block]"
jpigp_cor:NotesNewStandardsNotYetAppliedCondensedQuarterlyFinancialStatementsIFRSHeading,注記事項－未適用の新基準、要約四半期財務諸表（IFRS） [目次項目],Notes - New standards not yet applied,"Notes - New standards not yet applied, Condensed quarterly financial statements (IFRS) [heading]"
jpigp_cor:NotesNewStandardsNotYetAppliedCondensedQuarterlyFinancialStatementsIFRSTextBlock,注記事項－未適用の新基準、要約四半期財務諸表（IFRS） [テキストブロック],Notes - New standards not yet applied,"Notes - New standards not yet applied, Condensed quarterly financial statements (IFRS) [text block]"
jpigp_cor:NotesSegmentInformationCondensedQuarterlyFinancialStatementsIFRSHeading,注記事項－セグメント情報、要約四半期財務諸表（IFRS） [目次項目],Notes - Segment information,"Notes - Segment information, Condensed quarterly financial statements (IFRS) [heading]"
jpigp_cor:NotesSegmentInformationCondensedQuarterlyFinancialStatementsIFRSTextBlock,注記事項－セグメント情報、要約四半期財務諸表（IFRS） [テキストブロック],Notes - Segment information,"Notes - Segment information, Condensed quarterly financial statements (IFRS) [text block]"
jpigp_cor:NotesGroupEntitiesCondensedQuarterlyFinancialStatementsIFRSHeading,注記事項－グループ企業、要約四半期財務諸表（IFRS） [目次項目],Notes - Group entities,"Notes - Group entities, Condensed quarterly financial statements (IFRS) [heading]"
jpigp_cor:NotesGroupEntitiesCondensedQuarterlyFinancialStatementsIFRSTextBlock,注記事項－グループ企業、要約四半期財務諸表（IFRS） [テキストブロック],Notes - Group entities,"Notes - Group entities, Condensed quarterly financial statements (IFRS) [text block]"
jpigp_cor:NotesSubsidiariesAndAssociatesCondensedQuarterlyFinancialStatementsIFRSHeading,注記事項－子会社及び関連会社、要約四半期財務諸表（IFRS） [目次項目],Notes - Subsidiaries and associates,"Notes - Subsidiaries and associates, Condensed quarterly financial statements (IFRS) [heading]"
jpigp_cor:NotesSubsidiariesAndAssociatesCondensedQuarterlyFinancialStatementsIFRSTextBlock,注記事項－子会社及び関連会社、要約四半期財務諸表（IFRS） [テキストブロック],Notes - Subsidiaries and associates,"Notes - Subsidiaries and associates, Condensed quarterly financial statements (IFRS) [text block]"
jpigp_cor:NotesSubsidiariesCondensedQuarterlyFinancialStatementsIFRSHeading,注記事項－子会社、要約四半期財務諸表（IFRS） [目次項目],Notes - Subsidiaries,"Notes - Subsidiaries, Condensed quarterly financial statements (IFRS) [heading]"
jpigp_cor:NotesSubsidiariesCondensedQuarterlyFinancialStatementsIFRSTextBlock,注記事項－子会社、要約四半期財務諸表（IFRS） [テキストブロック],Notes - Subsidiaries,"Notes - Subsidiaries, Condensed quarterly financial statements (IFRS) [text block]"
jpigp_cor:NotesAssociatesAndJointVenturesCondensedQuarterlyFinancialStatementsIFRSHeading,注記事項－関連会社及びジョイント・ベンチャー、要約四半期財務諸表（IFRS） [目次項目],Notes - Associates and joint ventures,"Notes - Associates and joint ventures, Condensed quarterly financial statements (IFRS) [heading]"
jpigp_cor:NotesAssociatesAndJointVenturesCondensedQuarterlyFinancialStatementsIFRSTextBlock,注記事項－関連会社及びジョイント・ベンチャー、要約四半期財務諸表（IFRS） [テキストブロック],Notes - Associates and joint ventures,"Notes - Associates and joint ventures, Condensed quarterly financial statements (IFRS) [text block]"
jpigp_cor:NotesAssociatesCondensedQuarterlyFinancialStatementsIFRSHeading,注記事項－関連会社、要約四半期財務諸表（IFRS） [目次項目],Notes - Associates,"Notes - Associates, Condensed quarterly financial statements (IFRS) [heading]"
