,タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
80,jppfs_cor:ClaimsProvableInBankruptcyClaimsProvableInRehabilitationAndOther,破産更生債権等,"Claims provable in bankruptcy, claims provable in rehabilitation and other","Claims provable in bankruptcy, claims provable in rehabilitation and other"
81,jppfs_cor:AllowanceForDoubtfulAccountsClaimsInBankruptcyReorganizationClaimsAndOther,貸倒引当金、破産更生債権等,Allowance for doubtful accounts,"Allowance for doubtful accounts-claims provable in bankruptcy, claims provable in rehabilitation and other"
82,jppfs_cor:ClaimsProvableInBankruptcyClaimsProvableInRehabilitationAndOtherNet,破産更生債権等（純額）,"Claims provable in bankruptcy, claims provable in rehabilitation and other, net","Claims provable in bankruptcy, claims provable in rehabilitation and other, net"
83,jppfs_cor:LongTermPrepaidExpenses,長期前払費用,Long-term prepaid expenses,Long-term prepaid expenses
84,jppfs_cor:DeferredTaxAssetsIOA,繰延税金資産、投資その他の資産,Deferred tax assets,Deferred tax assets-IOA
85,jppfs_cor:OtherIOA,その他、投資その他の資産,Other,Other-IOA
86,jppfs_cor:InvestmentsAndOtherAssets,投資その他の資産,Investments and other assets,Investments and other assets
87,jppfs_cor:NoncurrentAssets,固定資産,Non-current assets,Non-current assets
88,jppfs_cor:DeferredAssetsAbstract,繰延資産 [タイトル項目],Deferred assets,Deferred assets [abstract]
89,jppfs_cor:DeferredOrganizationExpensesDA,創立費、繰延資産,Deferred organization expenses,Deferred organization expenses-DA
90,jppfs_cor:BusinessCommencementExpensesDA,開業費、繰延資産,Business commencement expenses,Business commencement expenses-DA
91,jppfs_cor:StockIssuanceCostDA,株式交付費、繰延資産,Share issuance cost,Share issuance cost-DA
92,jppfs_cor:BondIssuanceCostDA,社債発行費、繰延資産,Bond issuance cost,Bond issuance cost-DA
93,jppfs_cor:DevelopmentExpensesDA,開発費、繰延資産,Development expenses,Development expenses-DA
94,jppfs_cor:DeferredAssets,繰延資産,Deferred assets,Deferred assets
95,jppfs_cor:Assets,資産,Assets,Assets
96,jppfs_cor:LiabilitiesAbstract,負債の部 [タイトル項目],Liabilities,Liabilities [abstract]
97,jppfs_cor:CurrentLiabilitiesAbstract,流動負債 [タイトル項目],Current liabilities,Current liabilities [abstract]
98,jppfs_cor:NotesPayableTrade,支払手形,Notes payable - trade,Notes payable-trade
99,jppfs_cor:AccountsPayableShippingCLWAT,海運業未払金、流動負債、海運業,Accounts payable - shipping,Accounts payable-shipping-CL-WAT
100,jppfs_cor:AccountsPayableOtherBusinessCLWAT,その他事業未払金、流動負債、海運業,Accounts payable - other business,Accounts payable-other business-CL-WAT
101,jppfs_cor:ShortTermLoansPayable,短期借入金,Short-term loans payable,Short-term loans payable
102,jppfs_cor:AccountsPayableOther,未払金,Accounts payable - other,Accounts payable-other
103,jppfs_cor:AccruedExpenses,未払費用,Accrued expenses,Accrued expenses
104,jppfs_cor:IncomeTaxesPayable,未払法人税等,Income taxes payable,Income taxes payable
105,jppfs_cor:DeferredTaxLiabilitiesCL,繰延税金負債、流動負債,Deferred tax liabilities,Deferred tax liabilities-CL
106,jppfs_cor:AdvancesReceived,前受金,Advances received,Advances received
107,jppfs_cor:DepositsReceived,預り金,Deposits received,Deposits received
108,jppfs_cor:UnearnedRevenue,前受収益,Unearned revenue,Unearned revenue
109,jppfs_cor:DebtForAgencyCLWAT,代理店債務、流動負債、海運業,Debt for agency,Debt for agency-CL-WAT
110,jppfs_cor:ProvisionCLAbstract,引当金、流動負債 [タイトル項目],Provision,Provision-CL [abstract]
111,jppfs_cor:ProvisionForRepairs,修繕引当金,Provision for repairs,Provision for repairs
112,jppfs_cor:ProvisionForBonuses,賞与引当金,Provision for bonuses,Provision for bonuses
113,jppfs_cor:ProvisionCL,引当金、流動負債,Provision,Provision-CL
114,jppfs_cor:DepositsReceivedFromShareholdersDirectorsOrEmployees,株主、役員又は従業員からの預り金,"Deposits received from shareholders, directors (and other officers) or employees","Deposits received from shareholders, directors (and other officers) or employees"
115,jppfs_cor:OtherCL,その他、流動負債,Other,Other-CL
116,jppfs_cor:CurrentLiabilities,流動負債,Current liabilities,Current liabilities
117,jppfs_cor:NoncurrentLiabilitiesAbstract,固定負債 [タイトル項目],Non-current liabilities,Non-current liabilities [abstract]
118,jppfs_cor:BondsPayable,社債,Bonds payable,Bonds payable
119,jppfs_cor:LongTermLoansPayable,長期借入金,Long-term loans payable,Long-term loans payable
120,jppfs_cor:LongTermLoansPayableToSubsidiariesAndAffiliates,関係会社長期借入金,Long-term loans payable to subsidiaries and associates,Long-term loans payable to subsidiaries and associates
121,jppfs_cor:ProvisionNCLAbstract,引当金、固定負債 [タイトル項目],Provision,Provision-NCL [abstract]
122,jppfs_cor:ProvisionForRetirementBenefits,退職給付引当金,Provision for retirement benefits,Provision for retirement benefits
123,jppfs_cor:ProvisionForSpecialRepairsNCLWAT,特別修繕引当金、固定負債、海運業,Provision for special repairs,Provision for special repairs-NCL-WAT
124,jppfs_cor:ProvisionNCL,引当金、固定負債,Provision,Provision-NCL
125,jppfs_cor:LongTermLoansPayableToShareholdersDirectorsOrEmployees,株主、役員又は従業員からの長期借入金,"Long-term loans payable to shareholders, directors (and other officers) or employees","Long-term loans payable to shareholders, directors (and other officers) or employees"
126,jppfs_cor:LongTermAccountsPayableOther,長期未払金,Long-term accounts payable - other,Long-term accounts payable-other
127,jppfs_cor:DeferredTaxLiabilitiesNCL,繰延税金負債、固定負債,Deferred tax liabilities,Deferred tax liabilities-NCL
128,jppfs_cor:NegativeGoodwill,負ののれん,Negative goodwill,Negative goodwill
129,jppfs_cor:OtherNCL,その他、固定負債,Other,Other-NCL
130,jppfs_cor:NoncurrentLiabilities,固定負債,Non-current liabilities,Non-current liabilities
131,jppfs_cor:Liabilities,負債,Liabilities,Liabilities
132,jppfs_cor:NetAssetsAbstract,純資産の部 [タイトル項目],Net assets,Net assets [abstract]
133,jppfs_cor:ShareholdersEquityAbstract,株主資本 [タイトル項目],Shareholders' equity,Shareholders' equity [abstract]
134,jppfs_cor:CapitalStock,資本金,Capital stock,Capital stock
135,jppfs_cor:DepositForSubscriptionsToShares,新株式申込証拠金,Deposit for subscriptions to shares,Deposit for subscriptions to shares
136,jppfs_cor:CapitalSurplusAbstract,資本剰余金 [タイトル項目],Capital surplus,Capital surplus [abstract]
137,jppfs_cor:LegalCapitalSurplus,資本準備金,Legal capital surplus,Legal capital surplus
138,jppfs_cor:OtherCapitalSurplus,その他資本剰余金,Other capital surplus,Other capital surplus
139,jppfs_cor:CapitalSurplus,資本剰余金,Capital surplus,Capital surplus
140,jppfs_cor:RetainedEarningsAbstract,利益剰余金 [タイトル項目],Retained earnings,Retained earnings [abstract]
141,jppfs_cor:LegalRetainedEarnings,利益準備金,Legal retained earnings,Legal retained earnings
142,jppfs_cor:OtherRetainedEarningsAbstract,その他利益剰余金 [タイトル項目],Other retained earnings,Other retained earnings [abstract]
143,jppfs_cor:RetainedEarningsBroughtForward,繰越利益剰余金,Retained earnings brought forward,Retained earnings brought forward
144,jppfs_cor:RetainedEarnings,利益剰余金,Retained earnings,Retained earnings
145,jppfs_cor:TreasuryStock,自己株式,Treasury shares,Treasury shares
146,jppfs_cor:ShareholdersEquity,株主資本,Shareholders' equity,Shareholders' equity
147,jppfs_cor:ValuationAndTranslationAdjustmentsAbstract,評価・換算差額等 [タイトル項目],Valuation and translation adjustments,Valuation and translation adjustments [abstract]
148,jppfs_cor:ValuationDifferenceOnAvailableForSaleSecurities,その他有価証券評価差額金,Valuation difference on available-for-sale securities,Valuation difference on available-for-sale securities
149,jppfs_cor:DeferredGainsOrLossesOnHedges,繰延ヘッジ損益,Deferred gains or losses on hedges,Deferred gains or losses on hedges
150,jppfs_cor:RevaluationReserveForLand,土地再評価差額金,Revaluation reserve for land,Revaluation reserve for land
151,jppfs_cor:ValuationAndTranslationAdjustments,評価・換算差額等,Valuation and translation adjustments,Valuation and translation adjustments
152,jppfs_cor:SubscriptionRightsToShares,新株予約権,Share acquisition rights,Share acquisition rights
153,jppfs_cor:NonControllingInterests,非支配株主持分,Non-controlling interests,Non-controlling interests
154,jppfs_cor:NetAssets,純資産,Net assets,Net assets
155,jppfs_cor:LiabilitiesAndNetAssets,負債純資産,Liabilities and net assets,Liabilities and net assets
156,nan,,,
157,nan,,,
158,名前空間プレフィックス:要素名,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
159,jppfs_cor:StatementOfIncomeAbstract,損益計算書 [タイトル項目],Statement of income,Statement of income [abstract]
160,jppfs_cor:StatementOfIncomeTable,損益計算書 [表],Statement of income,Statement of income [table]
161,jppfs_cor:StatementOfIncomeLineItems,損益計算書 [表示項目],Statement of income,Statement of income [line items]
162,jppfs_cor:RevenueShippingAbstract,海運業収益 [タイトル項目],Revenue - shipping,Revenue-shipping [abstract]
163,jppfs_cor:FreightAndOtherRevenueShippingAbstract,運賃、海運業収益 [タイトル項目],Freight and other,Freight and other-revenue-shipping [abstract]
164,jppfs_cor:FreightRevenueShipping,貨物運賃、海運業収益,Freight,Freight-revenue-shipping
165,jppfs_cor:OtherRevenueShipping,その他運賃、海運業収益,Other,Other-revenue-shipping
166,jppfs_cor:FreightAndOtherRevenueShipping,運賃、海運業収益,Freight and other,Freight and other-revenue-shipping
167,jppfs_cor:ShipLeaseRevenueShipping,貸船料、海運業収益,Ship lease,Ship lease-revenue-shipping
168,jppfs_cor:OtherShippingBusinessRevenueRevenueShipping,その他海運業収益、海運業収益,Other shipping business revenue,Other shipping business revenue-revenue-shipping
169,jppfs_cor:ShippingBusinessRevenueWAT,海運業収益、海運業,Shipping business revenue,Shipping business revenue-WAT
170,jppfs_cor:NetSalesAbstract,売上高 [タイトル項目],Net sales,Net sales [abstract]
171,jppfs_cor:ShippingBusinessRevenueAndOtherOperatingRevenueWAT,海運業収益及びその他の営業収益、海運業,Shipping business revenue and other operating revenue,Shipping business revenue and other operating revenue-WAT
172,jppfs_cor:ShippingBusinessExpensesAbstract,海運業費用 [タイトル項目],Shipping business expenses,Shipping business expenses [abstract]
173,jppfs_cor:NavigationExpensesShippingBusinessExpensesAbstract,運航費、海運業費用 [タイトル項目],Navigation expenses,Navigation expenses-shipping business expenses [abstract]
174,jppfs_cor:FreightExpensesNaviExpensesShipping,貨物費、運航費、海運業費用,Freight expenses,Freight expenses-navi-expenses-shipping
175,jppfs_cor:FuelExpensesNaviExpensesShipping,燃料費、運航費、海運業費用,Fuel expenses,Fuel expenses-navi-expenses-shipping
176,jppfs_cor:PortExpensesNaviExpensesShipping,港費、運航費、海運業費用,Port expenses,Port expenses-navi-expenses-shipping
177,jppfs_cor:OtherNavigationExpensesNaviExpensesShipping,その他運航費、運航費、海運業費用,Other navigation expenses,Other navigation expenses-navi-expenses-shipping
178,jppfs_cor:NavigationExpensesExpensesShipping,運航費、海運業費用,Navigation expenses,Navigation expenses-expenses-shipping
179,jppfs_cor:ShipExpensesExpensesShippingAbstract,船費、海運業費用 [タイトル項目],Ship expenses,Ship expenses-expenses-shipping [abstract]
180,jppfs_cor:CrewExpensesShipExpensesShippingBusinessExpenses,船員費、船費、海運業費用,Crew expenses,Crew expenses-ship-expenses-shipping
181,jppfs_cor:ProvisionForRetirementBenefitsShipExpensesShipping,退職給付引当金繰入額、船費、海運業費用,Provision for retirement benefits,Provision for retirement benefits-ship-expenses-shipping
182,jppfs_cor:ShipSuppliesExpensesShipExpensesShipping,船舶消耗品費、船費、海運業費用,Ship supplies expenses,Ship supplies expenses-ship-expenses-shipping
183,jppfs_cor:InsuranceExpensesOfShipsShipExpensesShipping,船舶保険料、船費、海運業費用,Insurance expenses of ships,Insurance expenses of ships-ship-expenses-shipping
184,jppfs_cor:RepairExpensesOfShipsShipExpensesShipping,船舶修繕費、船費、海運業費用,Repair expenses of ships,Repair expenses of ships-ship-expenses-shipping
185,jppfs_cor:ProvisionForSpecialRepairsShipExpensesShipping,特別修繕引当金繰入額、船費、海運業費用,Provision for special repairs,Provision for special repairs-ship-expenses-shipping
186,jppfs_cor:DepreciationShipsShipExpensesShipping,船舶減価償却費、船費、海運業費用,Depreciation - ships,Depreciation-ships-ship-expenses-shipping
187,jppfs_cor:OtherShipExpensesShipExpensesShipping,その他船費、船費、海運業費用,Other ship expenses,Other ship expenses-ship-expenses-shipping
188,jppfs_cor:ShipExpensesExpensesShipping,船費、海運業費用,Ship expenses,Ship expenses-expenses-shipping
