,タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
136,jppfs_cor:Assets,資産,Assets,Assets
137,jppfs_cor:LiabilitiesAbstract,負債の部 [タイトル項目],Liabilities,Liabilities [abstract]
138,jppfs_cor:CurrentLiabilitiesAbstract,流動負債 [タイトル項目],Current liabilities,Current liabilities [abstract]
139,jppfs_cor:NotesPayableTrade,支払手形,Notes payable - trade,Notes payable-trade
140,jppfs_cor:ShortTermLoansPayable,短期借入金,Short-term loans payable,Short-term loans payable
141,jppfs_cor:CurrentPortionOfBonds,1年内償還予定の社債,Current portion of bonds,Current portion of bonds
142,jppfs_cor:AccountsPayableOther,未払金,Accounts payable - other,Accounts payable-other
143,jppfs_cor:AccruedExpenses,未払費用,Accrued expenses,Accrued expenses
144,jppfs_cor:IncomeTaxesPayable,未払法人税等,Income taxes payable,Income taxes payable
145,jppfs_cor:DeferredTaxLiabilitiesCL,繰延税金負債、流動負債,Deferred tax liabilities,Deferred tax liabilities-CL
146,jppfs_cor:InterLineFaresReceivedCLRWY,預り連絡運賃、流動負債、鉄道事業,Inter-line fares received,Inter-line fares received-CL-RWY
147,jppfs_cor:DepositsReceived,預り金,Deposits received,Deposits received
148,jppfs_cor:PrepaidFaresReceivedCLRWY,前受運賃、流動負債、鉄道事業,Prepaid fares received,Prepaid fares received-CL-RWY
149,jppfs_cor:AdvancesReceived,前受金,Advances received,Advances received
150,jppfs_cor:UnearnedRevenue,前受収益,Unearned revenue,Unearned revenue
151,jppfs_cor:AccountsPayableRailwayEquipmentCLRWY,鉄道施設購入未払金、流動負債、鉄道事業,Accounts payable - railway equipment,Accounts payable-railway equipment-CL-RWY
152,jppfs_cor:CurrentPortionOfLongTermAccountsPayableRailwayEquipmentCLRWY,1年内に支払う鉄道施設購入長期未払金、流動負債、鉄道事業,Current portion of long-term accounts payable - railway equipment,Current portion of long-term accounts payable-railway equipment-CL-RWY
153,jppfs_cor:OtherCL,その他、流動負債,Other,Other-CL
154,jppfs_cor:CurrentLiabilities,流動負債,Current liabilities,Current liabilities
155,jppfs_cor:NoncurrentLiabilitiesAbstract,固定負債 [タイトル項目],Non-current liabilities,Non-current liabilities [abstract]
156,jppfs_cor:BondsPayable,社債,Bonds payable,Bonds payable
157,jppfs_cor:LongTermLoansPayable,長期借入金,Long-term loans payable,Long-term loans payable
158,jppfs_cor:DeferredTaxLiabilitiesNCL,繰延税金負債、固定負債,Deferred tax liabilities,Deferred tax liabilities-NCL
159,jppfs_cor:NegativeGoodwill,負ののれん,Negative goodwill,Negative goodwill
160,jppfs_cor:ProvisionForLargeScaleRenovationOfTheShinkansenInfrastructureNCLRWY,新幹線鉄道大規模改修引当金、固定負債、鉄道事業,Provision for large scale renovation of Shinkansen infrastructure,Provision for large scale renovation of Shinkansen infrastructure-NCL-RWY
161,jppfs_cor:LongTermAccountsPayableRailwayEquipmentNCLRWY,鉄道施設購入長期未払金、固定負債、鉄道事業,Long-term accounts payable - railway equipment,Long-term accounts payable-railway equipment-NCL-RWY
162,jppfs_cor:LongTermAccountsPayableToJapanRailwayConstructionTransportAndTechnologyAgencyNCLRWY,鉄道・運輸機構長期未払金、固定負債、鉄道事業,"Long-term accounts payable to Japan railway construction, transport and technology agency","Long-term accounts payable to Japan railway construction, transport and technology agency-NCL-RWY"
163,jppfs_cor:OtherNCL,その他、固定負債,Other,Other-NCL
164,jppfs_cor:NoncurrentLiabilities,固定負債,Non-current liabilities,Non-current liabilities
