,タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
149,jppfs_cor:MachineryAndEquipmentNet,機械及び装置（純額）,"Machinery and equipment, net","Machinery and equipment, net"
150,jppfs_cor:VesselsAndWaterDeliveryEquipmentPPEAbstract,船舶及び水上運搬具、有形固定資産 [タイトル項目],Vessels and water delivery equipment,Vessels and water delivery equipment-PPE [abstract]
151,jppfs_cor:Vessels,船舶,Vessels,Vessels
152,jppfs_cor:AccumulatedDepreciationVessels,減価償却累計額、船舶,Accumulated depreciation,Accumulated depreciation-vessels
153,jppfs_cor:AccumulatedImpairmentLossVessels,減損損失累計額、船舶,Accumulated impairment loss,Accumulated impairment loss-vessels
154,jppfs_cor:AccumulatedDepreciationAndImpairmentLossVessels,減価償却累計額及び減損損失累計額、船舶,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-vessels
155,jppfs_cor:VesselsNet,船舶（純額）,"Vessels, net","Vessels, net"
156,jppfs_cor:RailwayCarAndOtherLandDeliveryEquipmentPPEAbstract,鉄道車両、自動車その他の陸上運搬具、有形固定資産 [タイトル項目],"Railway, car and other land delivery equipment","Railway, car and other land delivery equipment-PPE [abstract]"
157,jppfs_cor:Vehicles,車両運搬具,Vehicles,Vehicles
158,jppfs_cor:AccumulatedDepreciationVehicles,減価償却累計額、車両運搬具,Accumulated depreciation,Accumulated depreciation-vehicles
159,jppfs_cor:AccumulatedImpairmentLossVehicles,減損損失累計額、車両運搬具,Accumulated impairment loss,Accumulated impairment loss-vehicles
160,jppfs_cor:AccumulatedDepreciationAndImpairmentLossVehicles,減価償却累計額及び減損損失累計額、車両運搬具,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-vehicles
161,jppfs_cor:VehiclesNet,車両運搬具（純額）,"Vehicles, net","Vehicles, net"
162,jppfs_cor:ToolsFurnitureAndFixtures,工具、器具及び備品,"Tools, furniture and fixtures","Tools, furniture and fixtures"
163,jppfs_cor:AccumulatedDepreciationToolsFurnitureAndFixtures,減価償却累計額、工具、器具及び備品,Accumulated depreciation,"Accumulated depreciation-tools, furniture and fixtures"
164,jppfs_cor:AccumulatedImpairmentLossToolsFurnitureAndFixtures,減損損失累計額、工具、器具及び備品,Accumulated impairment loss,"Accumulated impairment loss-tools, furniture and fixtures"
165,jppfs_cor:AccumulatedDepreciationAndImpairmentLossToolsFurnitureAndFixtures,減価償却累計額及び減損損失累計額、工具、器具及び備品,Accumulated depreciation and impairment loss,"Accumulated depreciation and impairment loss-tools, furniture and fixtures"
166,jppfs_cor:ToolsFurnitureAndFixturesNet,工具、器具及び備品（純額）,"Tools, furniture and fixtures, net","Tools, furniture and fixtures, net"
167,jppfs_cor:MachineryEquipmentAndVehicles,機械装置及び運搬具,"Machinery, equipment and vehicles","Machinery, equipment and vehicles"
168,jppfs_cor:AccumulatedDepreciationMachineryEquipmentAndVehicles,減価償却累計額、機械装置及び運搬具,Accumulated depreciation,"Accumulated depreciation-machinery, equipment and vehicles"
169,jppfs_cor:AccumulatedImpairmentLossMachineryEquipmentAndVehicles,減損損失累計額、機械装置及び運搬具,Accumulated impairment loss,"Accumulated impairment loss-machinery, equipment and vehicles"
170,jppfs_cor:AccumulatedDepreciationAndImpairmentLossMachineryEquipmentAndVehicles,減価償却累計額及び減損損失累計額、機械装置及び運搬具,Accumulated depreciation and impairment loss,"Accumulated depreciation and impairment loss-machinery, equipment and vehicles"
171,jppfs_cor:MachineryEquipmentAndVehiclesNet,機械装置及び運搬具（純額）,"Machinery, equipment and vehicles, net","Machinery, equipment and vehicles, net"
172,jppfs_cor:VehiclesToolsFurnitureAndFixtures,車両運搬具及び工具器具備品,"Vehicles, tools, furniture and fixtures","Vehicles, tools, furniture and fixtures"
173,jppfs_cor:AccumulatedDepreciationVehiclesToolsFurnitureAndFixtures,減価償却累計額、車両運搬具及び工具器具備品,Accumulated depreciation,"Accumulated depreciation-vehicles, tools, furniture and fixtures"
174,jppfs_cor:AccumulatedImpairmentLossVehiclesToolsFurnitureAndFixtures,減損損失累計額、車両運搬具及び工具器具備品,Accumulated impairment loss,"Accumulated impairment loss-vehicles, tools, furniture and fixtures"
175,jppfs_cor:AccumulatedDepreciationAndImpairmentLossVehiclesToolsFurnitureAndFixtures,減価償却累計額及び減損損失累計額、車両運搬具及び工具器具備品,Accumulated depreciation and impairment loss,"Accumulated depreciation and impairment loss-vehicles, tools, furniture and fixtures"
176,jppfs_cor:VehiclesToolsFurnitureAndFixturesNet,車両運搬具及び工具器具備品（純額）,"Vehicles, tools, furniture and fixtures, net","Vehicles, tools, furniture and fixtures, net"
177,jppfs_cor:MachineryVehiclesToolsFurnitureAndFixtures,機械、運搬具及び工具器具備品,"Machinery, vehicles, tools, furniture and fixtures","Machinery, vehicles, tools, furniture and fixtures"
178,jppfs_cor:AccumulatedDepreciationMachineryVehiclesToolsFurnitureAndFixtures,減価償却累計額、機械、運搬具及び工具器具備品,Accumulated depreciation,"Accumulated depreciation-machinery, vehicles, tools, furniture and fixtures"
179,jppfs_cor:AccumulatedImpairmentLossMachineryVehiclesToolsFurnitureAndFixtures,減損損失累計額、機械、運搬具及び工具器具備品,Accumulated impairment loss,"Accumulated impairment loss-machinery, vehicles, tools, furniture and fixtures"
180,jppfs_cor:AccumulatedDepreciationAndImpairmentLossMachineryVehiclesToolsFurnitureAndFixtures,減価償却累計額及び減損損失累計額、機械、運搬具及び工具器具備品,Accumulated depreciation and impairment loss,"Accumulated depreciation and impairment loss-machinery, vehicles, tools, furniture and fixtures"
181,jppfs_cor:MachineryVehiclesToolsFurnitureAndFixturesNet,機械、運搬具及び工具器具備品（純額）,"Machinery, vehicles, tools, furniture and fixtures, net","Machinery, vehicles, tools, furniture and fixtures, net"
182,jppfs_cor:Land,土地,Land,Land
183,jppfs_cor:LeaseAssetsPPE,リース資産、有形固定資産,Leased assets,Leased assets-PPE
184,jppfs_cor:AccumulatedDepreciationLeaseAssetsPPE,減価償却累計額、リース資産、有形固定資産,Accumulated depreciation,Accumulated depreciation-lease assets-PPE
185,jppfs_cor:AccumulatedImpairmentLossLeaseAssetsPPE,減損損失累計額、リース資産、有形固定資産,Accumulated impairment loss,Accumulated impairment loss-lease assets-PPE
186,jppfs_cor:AccumulatedDepreciationAndImpairmentLossLeaseAssetsPPE,減価償却累計額及び減損損失累計額、リース資産、有形固定資産,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-lease assets-PPE
187,jppfs_cor:LeaseAssetsNetPPE,リース資産（純額）、有形固定資産,"Leased assets, net","Leased assets, net-PPE"
188,jppfs_cor:ConstructionInProgress,建設仮勘定,Construction in progress,Construction in progress
